maintenance_id,service_id,equipment_id,equipment_type,equipment_model_class,site_id,maintenance_date,maintenance_type,priority,operating_hours,component,failure_mode,reported_symptom,probable_cause,work_performed,parts_materials,technician_id,labor_hours,downtime_hours,material_cost,labor_cost,total_cost,status
MR-00274,SR-00274,EQ-0134,Hydraulic Excavator,20T Class Excavator,SITE-03,2026-06-26,Preventive,Medium,10417,Engine Cooling System,Oil contamination,bucket will not open normally,degraded hydraulic fluid,replaced damaged seal kit and performed leak test,No replacement part,TECH-0364,15.15,7.54,26300.86,12244.49,38545.35,Closed
MR-00275,SR-00275,EQ-0103,Hydraulic Excavator,35T Class Excavator,SITE-06,2022-04-28,Corrective,Medium,6344,Hydraulic Filter,Filter blockage,filter restriction indicator activated,damaged hydraulic hose,inspected suction line for air ingress and corrected the connection,Hydraulic hose,TECH-0609,3.05,4.13,46244.97,1811.9,48056.87,Completed
MR-00276,SR-00276,EQ-0063,Hydraulic Excavator,45T Class Excavator,SITE-01,2022-11-04,Inspection,High,3704,Hydraulic Tank,Air ingress,filter restriction indicator activated,restricted hydraulic line,inspected valve spool movement and cleaned the valve assembly,Pilot filter,TECH-0548,9.03,5.26,52183.58,4304.12,56487.7,Closed
MR-00277,SR-00277,EQ-0081,Backhoe Loader,4WD Backhoe Loader,SITE-07,2024-09-01,Condition-Based,Medium,12990,Hydraulic Filter,Accumulator pressure loss,hydraulic flow is low at operating temperature,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,TECH-0120,5.15,7.77,37115.36,4047.34,41162.7,Completed
MR-00278,SR-00278,EQ-0165,Wheel Loader,25T Class Wheel Loader,SITE-03,2023-02-17,Preventive,Low,7681,Fuel System,Pump wear,pump noise increases during operation,internal cylinder leakage,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pilot filter,TECH-0410,15.04,4.4,17106.28,16495.67,33601.95,Completed
MR-00279,SR-00279,EQ-0095,Hydraulic Excavator,20T Class Excavator,SITE-02,2022-03-04,Condition-Based,Medium,6565,Hydraulic Filter,Valve sticking,bucket cylinder leaking externally,low pilot supply pressure,cleaned cooler and verified hydraulic oil temperature,No replacement part,TECH-0519,10.07,3.52,57621.61,7468.57,65090.18,Completed
MR-00280,SR-00280,EQ-0033,Hydraulic Excavator,45T Class Excavator,SITE-01,2025-06-10,Corrective,Medium,9843,Travel Motor,Oil contamination,hydraulic response is jerky,blocked cooler core,replaced restricted hydraulic filter and checked contamination source,Return filter element,TECH-0230,7.07,3.08,14966.95,4472.89,19439.84,Completed
MR-00281,SR-00281,EQ-0215,Hydraulic Excavator,45T Class Excavator,SITE-02,2023-12-09,Corrective,High,17773,Main Control Valve,Valve sticking,visible oil leak near hydraulic line,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0432,5.56,3.3,33802.72,3325.51,37128.23,Completed - Monitor
MR-00282,SR-00282,EQ-0165,Wheel Loader,25T Class Wheel Loader,SITE-03,2025-05-29,Preventive,High,12976,Hydraulic Line,External leakage,reduced digging force,high oil temperature,inspected suction line for air ingress and corrected the connection,Hydraulic hose,TECH-0638,4.37,3.8,24351.89,2088.88,26440.77,Completed - Monitor
MR-00283,SR-00283,EQ-0127,Hydraulic Excavator,20T Class Excavator,SITE-06,2026-03-23,Preventive,High,4684,Fuel System,Valve sticking,filter restriction indicator activated,high oil temperature,inspected valve spool movement and cleaned the valve assembly,Cylinder seal kit,TECH-0157,12.95,8.35,27861.85,8872.82,36734.67,Completed
MR-00284,SR-00284,EQ-0026,Hydraulic Excavator,45T Class Excavator,SITE-03,2023-09-10,Corrective,High,3201,Accumulator,Restricted flow,pilot pressure below expected range,blocked cooler core,checked pressure and flow at operating temperature,Return filter element,TECH-0287,11.06,10.65,62040.36,7243.04,69283.4,Completed
MR-00285,SR-00285,EQ-0233,Crawler Dozer,25T Class Dozer,SITE-05,2023-01-25,Condition-Based,High,16190,Engine Cooling System,Low pilot pressure,reduced digging force,contaminated hydraulic oil,inspected valve spool movement and cleaned the valve assembly,Hydraulic hose,TECH-0791,14.57,0.97,11085.19,9652.22,20737.41,Completed
MR-00286,SR-00286,EQ-0007,Backhoe Loader,4WD Backhoe Loader,SITE-06,2022-07-05,Preventive,Medium,7523,Accumulator,Cooler restriction,arm movement slow after hydraulic oil warms,air entering suction line,inspected hydraulic circuit and isolated the affected component,Hydraulic hose,TECH-0420,12.2,7.78,2299.4,12673.5,14972.9,Closed
MR-00287,SR-00287,EQ-0184,Hydraulic Excavator,30T Class Excavator,SITE-04,2025-11-11,Inspection,Medium,16557,Arm Cylinder,Pump wear,reduced digging force,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0189,11.85,3.38,4668.64,10790.18,15458.82,Completed - Monitor
MR-00288,SR-00288,EQ-0140,Crawler Dozer,35T Class Dozer,SITE-02,2024-10-16,Corrective,Low,5682,Hydraulic Filter,Accumulator pressure loss,filter restriction indicator activated,restricted return filter,inspected suction line for air ingress and corrected the connection,No replacement part,TECH-0796,1.76,5.52,61103.05,1365.92,62468.97,Completed
MR-00289,SR-00289,EQ-0141,Wheel Loader,25T Class Wheel Loader,SITE-01,2023-03-09,Preventive,Low,4565,Swing Motor,Cylinder seal wear,reduced digging force,restricted hydraulic line,replaced restricted hydraulic filter and checked contamination source,Cooler gasket set,TECH-0118,2.24,0.25,7808.92,1980.89,9789.81,Completed
MR-00290,SR-00290,EQ-0040,Crawler Dozer,35T Class Dozer,SITE-04,2024-11-13,Inspection,Medium,7042,Accumulator,Air ingress,travel function loses power on incline,degraded hydraulic fluid,checked pressure and flow at operating temperature,Hydraulic oil,TECH-0980,2.15,4.64,24485.61,1698.88,26184.49,Completed - Monitor
MR-00291,SR-00291,EQ-0201,Hydraulic Excavator,45T Class Excavator,SITE-07,2022-12-22,Corrective,High,14276,Swing Motor,Cooler restriction,bucket cylinder leaking externally,damaged cylinder seal,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,TECH-0077,1.69,0.25,3537.3,1667.58,5204.88,Completed - Monitor
MR-00292,SR-00292,EQ-0106,Hydraulic Excavator,30T Class Excavator,SITE-04,2022-05-14,Corrective,High,4356,Hydraulic Line,Cylinder seal wear,bucket cylinder leaking externally,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",No replacement part,TECH-0731,4.36,10.12,16263.53,3460.41,19723.94,Completed
MR-00293,SR-00293,EQ-0188,Hydraulic Excavator,45T Class Excavator,SITE-07,2022-04-04,Corrective,Medium,11162,Accumulator,Cooler restriction,swing movement is slow,worn pump components,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,TECH-0200,14.15,2.6,18644.57,6937.57,25582.14,Completed
MR-00294,SR-00294,EQ-0165,Wheel Loader,25T Class Wheel Loader,SITE-03,2026-06-18,Corrective,Low,14863,Arm Cylinder,Filter blockage,reduced digging force,air entering suction line,replaced restricted hydraulic filter and checked contamination source,Cylinder seal kit,TECH-0398,2.68,3.97,19915.42,1365.79,21281.21,Completed
MR-00295,SR-00295,EQ-0167,Hydraulic Excavator,45T Class Excavator,SITE-05,2023-05-16,Corrective,Medium,7833,Swing Motor,Filter blockage,hydraulic oil temperature rises during continuous operation,degraded hydraulic fluid,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0863,3.24,6.85,31811.16,3248.14,35059.3,Completed - Monitor
MR-00296,SR-00296,EQ-0177,Crawler Dozer,25T Class Dozer,SITE-03,2025-12-14,Inspection,Medium,18247,Hydraulic Hose,Valve sticking,pump noise increases during operation,low pilot supply pressure,inspected suction line for air ingress and corrected the connection,Hydraulic line fittings,TECH-0237,0.91,7.83,26242.61,756.21,26998.82,Completed
MR-00297,SR-00297,EQ-0225,Motor Grader,16M Class Grader,SITE-06,2024-01-07,Corrective,Medium,10347,Arm Cylinder,Oil contamination,boom movement slow under load,worn pump components,replaced damaged seal kit and performed leak test,Accumulator charging kit,TECH-0223,13.86,5.41,22147.26,12471.49,34618.75,Completed
MR-00298,SR-00298,EQ-0231,Hydraulic Excavator,30T Class Excavator,SITE-08,2022-06-30,Corrective,Medium,10337,Engine Cooling System,Cylinder seal wear,hydraulic response is jerky,degraded hydraulic fluid,cleaned cooler and verified hydraulic oil temperature,Cylinder seal kit,TECH-0928,4.07,7.76,11778.38,2694.49,14472.87,Completed
MR-00299,SR-00299,EQ-0016,Crawler Dozer,35T Class Dozer,SITE-04,2025-09-24,Corrective,Medium,4249,Arm Cylinder,Internal leakage,hydraulic flow is low at operating temperature,blocked cooler core,replaced restricted hydraulic filter and checked contamination source,Return filter element,TECH-0737,7.8,2.88,33719.1,8188.25,41907.35,Completed
MR-00300,SR-00300,EQ-0199,Hydraulic Excavator,30T Class Excavator,SITE-03,2026-04-19,Corrective,High,11199,Fuel System,External leakage,reduced digging force,damaged hydraulic hose,replaced damaged hose and pressure-tested the circuit,Accumulator charging kit,TECH-0623,3.35,7.14,8374.42,3598.08,11972.5,Completed
MR-00301,SR-00301,EQ-0031,Hydraulic Excavator,30T Class Excavator,SITE-06,2023-08-25,Corrective,Medium,7371,Arm Cylinder,Hose failure,boom movement slow under load,sticking spool valve,replaced restricted hydraulic filter and checked contamination source,Cooler gasket set,TECH-0301,4.59,5.68,45899.38,2567.57,48466.95,Completed
MR-00302,SR-00302,EQ-0110,Hydraulic Excavator,45T Class Excavator,SITE-06,2025-11-26,Preventive,Medium,17796,Hydraulic Filter,Accumulator pressure loss,hydraulic oil appears contaminated,low pilot supply pressure,checked pump output and inspected for internal leakage,No replacement part,TECH-0820,9.48,4.03,11224.24,8051.51,19275.75,Completed
MR-00303,SR-00303,EQ-0077,Wheel Loader,25T Class Wheel Loader,SITE-01,2022-06-17,Inspection,Medium,14316,Boom Cylinder,Restricted flow,boom movement slow under load,restricted return filter,replaced damaged seal kit and performed leak test,Hydraulic filter,TECH-0513,12.47,4.89,53004.51,13247.4,66251.91,Completed - Monitor
MR-00304,SR-00304,EQ-0157,Hydraulic Excavator,30T Class Excavator,SITE-05,2022-09-28,Corrective,High,4701,Boom Cylinder,Oil contamination,filter restriction indicator activated,sticking spool valve,checked accumulator pre-charge and restored it to service specification,Return filter element,TECH-0807,11.75,2.8,33440.77,9411.18,42851.95,Completed
MR-00305,SR-00305,EQ-0212,Hydraulic Excavator,45T Class Excavator,SITE-01,2024-04-20,Corrective,Medium,14966,Pilot Valve,Filter blockage,boom movement slow under load,contaminated hydraulic oil,replaced damaged hose and pressure-tested the circuit,Hydraulic oil,TECH-0850,4.65,6.15,35307.25,4623.73,39930.98,Follow-up Required
MR-00306,SR-00306,EQ-0022,Crawler Dozer,35T Class Dozer,SITE-06,2026-03-07,Corrective,Medium,16374,Hydraulic Pump,Accumulator pressure loss,bucket will not open normally,restricted hydraulic line,inspected hydraulic circuit and isolated the affected component,Hydraulic filter,TECH-0355,5.17,3.21,23271.71,5068.29,28340.0,Completed - Monitor
MR-00307,SR-00307,EQ-0194,Hydraulic Excavator,35T Class Excavator,SITE-04,2025-03-26,Corrective,High,15921,Hydraulic Pump,External leakage,bucket will not open normally,worn pump components,cleaned cooler and verified hydraulic oil temperature,Hydraulic filter,TECH-0039,10.26,9.77,8055.56,9278.4,17333.96,Completed
MR-00308,SR-00308,EQ-0230,Motor Grader,16M Class Grader,SITE-07,2022-02-15,Corrective,Medium,15932,Bucket Cylinder,Internal leakage,swing movement is slow,high oil temperature,checked pressure and flow at operating temperature,Accumulator charging kit,TECH-0475,0.99,0.25,34669.6,698.96,35368.56,Completed
MR-00309,SR-00309,EQ-0192,Crawler Dozer,35T Class Dozer,SITE-07,2024-10-18,Corrective,High,6330,Swing Motor,Line restriction,bucket will not open normally,sticking spool valve,replaced restricted hydraulic filter and checked contamination source,Valve O-rings,TECH-0613,15.96,6.55,7997.81,9936.56,17934.37,Completed
MR-00310,SR-00310,EQ-0104,Hydraulic Excavator,30T Class Excavator,SITE-04,2026-01-03,Corrective,High,15817,Hydraulic Tank,External leakage,hydraulic response is jerky,loss of accumulator pre-charge,inspected hydraulic circuit and isolated the affected component,Return filter element,TECH-0557,11.79,5.18,39149.96,9732.48,48882.44,Completed
MR-00311,SR-00311,EQ-0013,Hydraulic Excavator,35T Class Excavator,SITE-04,2026-04-03,Inspection,High,2627,Main Control Valve,Low pilot pressure,pilot pressure below expected range,damaged hydraulic hose,cleaned cooler and verified hydraulic oil temperature,Cylinder seal kit,TECH-0106,7.28,8.83,23609.26,6568.62,30177.88,Completed
MR-00312,SR-00312,EQ-0067,Hydraulic Excavator,30T Class Excavator,SITE-03,2022-07-09,Preventive,Medium,6845,Arm Cylinder,Internal leakage,travel function loses power on incline,damaged hydraulic hose,inspected valve spool movement and cleaned the valve assembly,No replacement part,TECH-0384,11.72,0.25,55176.37,9417.2,64593.57,Completed
MR-00313,SR-00313,EQ-0167,Hydraulic Excavator,45T Class Excavator,SITE-05,2022-12-06,Preventive,High,7186,Hydraulic Line,Valve sticking,filter restriction indicator activated,air entering suction line,checked pressure and flow at operating temperature,Valve O-rings,TECH-0432,14.5,3.39,4420.43,9674.45,14094.88,Completed
MR-00314,SR-00314,EQ-0134,Hydraulic Excavator,20T Class Excavator,SITE-03,2026-01-11,Condition-Based,High,18245,Swing Motor,Overheating,reduced digging force,high oil temperature,cleaned cooler and verified hydraulic oil temperature,Return filter element,TECH-0965,3.94,5.15,15385.31,4080.57,19465.88,Completed
MR-00315,SR-00315,EQ-0227,Hydraulic Excavator,20T Class Excavator,SITE-03,2026-03-18,Inspection,Medium,18392,Pilot Valve,Cooler restriction,swing movement is slow,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,TECH-0381,3.65,8.1,41496.34,2575.2,44071.54,Completed
MR-00316,SR-00316,EQ-0019,Crawler Dozer,25T Class Dozer,SITE-07,2022-09-04,Corrective,Medium,11692,Bucket Cylinder,Accumulator pressure loss,swing movement is slow,damaged cylinder seal,checked accumulator pre-charge and restored it to service specification,Valve O-rings,TECH-0215,12.75,7.74,32211.71,11322.41,43534.12,Closed
MR-00317,SR-00317,EQ-0227,Hydraulic Excavator,20T Class Excavator,SITE-03,2025-08-09,Corrective,Medium,9933,Arm Cylinder,Filter blockage,hydraulic oil temperature rises during continuous operation,loss of accumulator pre-charge,replaced damaged hose and pressure-tested the circuit,Accumulator charging kit,TECH-0979,8.54,3.0,46139.17,8905.74,55044.91,Follow-up Required
MR-00318,SR-00318,EQ-0019,Crawler Dozer,25T Class Dozer,SITE-07,2024-09-18,Corrective,Medium,11452,Hydraulic Tank,Restricted flow,hydraulic flow is low at operating temperature,restricted return filter,replaced damaged seal kit and performed leak test,Pump seal kit,TECH-0194,8.79,0.38,36594.79,5173.17,41767.96,Completed
MR-00319,SR-00319,EQ-0160,Wheel Loader,20T Class Wheel Loader,SITE-06,2022-10-14,Corrective,Medium,12745,Hydraulic Filter,Overheating,hydraulic oil appears contaminated,air entering suction line,inspected hydraulic circuit and isolated the affected component,Valve O-rings,TECH-0146,11.46,5.05,29659.19,10144.26,39803.45,Completed
MR-00320,SR-00320,EQ-0114,Motor Grader,16M Class Grader,SITE-02,2026-05-27,Corrective,Medium,17611,Hydraulic Pump,Cooler restriction,bucket will not open normally,blocked cooler core,replaced restricted hydraulic filter and checked contamination source,Cylinder seal kit,TECH-0477,13.98,1.07,54870.7,13939.14,68809.84,Completed
MR-00321,SR-00321,EQ-0099,Backhoe Loader,Heavy-Duty Backhoe Loader,SITE-08,2024-06-07,Corrective,Medium,14025,Accumulator,Low pilot pressure,boom movement slow under load,air entering suction line,replaced damaged seal kit and performed leak test,Hydraulic hose,TECH-0657,8.84,6.59,52840.34,6217.98,59058.32,Completed - Monitor
MR-00322,SR-00322,EQ-0121,Motor Grader,16M Class Grader,SITE-01,2024-02-26,Preventive,High,18276,Hydraulic Filter,External leakage,pilot pressure below expected range,restricted hydraulic line,inspected hydraulic circuit and isolated the affected component,Pump seal kit,TECH-0728,6.11,7.15,56534.14,3979.13,60513.27,Completed - Monitor
MR-00323,SR-00323,EQ-0012,Hydraulic Excavator,20T Class Excavator,SITE-04,2025-02-07,Corrective,Low,13364,Hydraulic Pump,Hose failure,hydraulic flow is low at operating temperature,restricted hydraulic line,replaced damaged seal kit and performed leak test,Hydraulic oil,TECH-0095,11.43,0.83,55768.19,7945.63,63713.82,Follow-up Required
MR-00324,SR-00324,EQ-0201,Hydraulic Excavator,45T Class Excavator,SITE-07,2025-04-27,Preventive,Medium,8516,Travel Motor,External leakage,travel function loses power on incline,high oil temperature,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,TECH-0007,7.05,6.03,18785.54,3872.16,22657.7,Completed
MR-00325,SR-00325,EQ-0007,Backhoe Loader,4WD Backhoe Loader,SITE-06,2023-05-28,Preventive,Critical,6806,Hydraulic Line,Cylinder seal wear,pump noise increases during operation,low pilot supply pressure,tested pilot pressure and inspected pilot circuit,Accumulator charging kit,TECH-0115,9.61,6.01,30794.03,4757.24,35551.27,Completed
MR-00326,SR-00326,EQ-0017,Wheel Loader,25T Class Wheel Loader,SITE-02,2023-10-04,Corrective,Medium,9939,Swing Motor,Pump wear,boom movement slow under load,restricted hydraulic line,replaced damaged seal kit and performed leak test,Accumulator charging kit,TECH-0011,1.14,4.38,22458.28,780.99,23239.27,Closed
MR-00327,SR-00327,EQ-0230,Motor Grader,16M Class Grader,SITE-07,2022-05-20,Preventive,Medium,4945,Hydraulic Pump,Pump wear,hydraulic response is jerky,restricted hydraulic line,cleaned cooler and verified hydraulic oil temperature,Hydraulic filter,TECH-0578,11.67,4.47,42398.91,6586.15,48985.06,Completed
MR-00328,SR-00328,EQ-0118,Hydraulic Excavator,20T Class Excavator,SITE-05,2023-11-27,Preventive,High,7104,Arm Cylinder,Cooler restriction,reduced digging force,damaged hydraulic hose,"drained contaminated oil, flushed circuit and refilled with filtered oil",No replacement part,TECH-0683,10.06,4.79,12858.08,10038.09,22896.17,Follow-up Required
MR-00329,SR-00329,EQ-0026,Hydraulic Excavator,45T Class Excavator,SITE-03,2026-06-24,Corrective,Low,14946,Hydraulic Pump,Cooler restriction,pump noise increases during operation,air entering suction line,replaced restricted hydraulic filter and checked contamination source,Cooler gasket set,TECH-0998,5.71,3.88,42562.11,5151.0,47713.11,Completed
MR-00330,SR-00330,EQ-0044,Wheel Loader,25T Class Wheel Loader,SITE-02,2024-09-13,Corrective,Medium,16558,Boom Cylinder,Internal leakage,arm movement slow after hydraulic oil warms,degraded hydraulic fluid,replaced damaged seal kit and performed leak test,No replacement part,TECH-0627,14.83,5.07,1026.19,15478.95,16505.14,Closed
MR-00331,SR-00331,EQ-0099,Backhoe Loader,Heavy-Duty Backhoe Loader,SITE-08,2025-12-23,Corrective,Low,5999,Hydraulic Hose,Cooler restriction,travel function loses power on incline,air entering suction line,cleaned cooler and verified hydraulic oil temperature,Pilot filter,TECH-0453,6.36,5.82,15540.67,4183.22,19723.89,Completed
MR-00332,SR-00332,EQ-0149,Hydraulic Excavator,20T Class Excavator,SITE-06,2025-10-01,Corrective,Medium,14201,Engine Cooling System,Overheating,pump noise increases during operation,worn pump components,checked accumulator pre-charge and restored it to service specification,No replacement part,TECH-0457,3.37,1.2,2515.11,2850.38,5365.49,Completed
MR-00333,SR-00333,EQ-0123,Crawler Dozer,25T Class Dozer,SITE-06,2025-10-06,Preventive,Medium,11690,Fuel System,Air ingress,bucket cylinder leaking externally,worn pump components,replaced damaged seal kit and performed leak test,Hydraulic filter,TECH-0377,15.23,0.62,25864.89,16531.99,42396.88,Completed
MR-00334,SR-00334,EQ-0003,Crawler Dozer,35T Class Dozer,SITE-07,2022-02-26,Corrective,Medium,16739,Arm Cylinder,Oil contamination,hydraulic flow is low at operating temperature,low pilot supply pressure,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,TECH-0129,15.27,8.23,27513.34,11408.36,38921.7,Completed
MR-00335,SR-00335,EQ-0054,Crawler Dozer,25T Class Dozer,SITE-01,2023-08-05,Condition-Based,High,6291,Fuel System,Accumulator pressure loss,boom movement slow under load,blocked cooler core,inspected hydraulic circuit and isolated the affected component,Cooler gasket set,TECH-0618,15.78,6.65,51662.51,13948.35,65610.86,Follow-up Required
MR-00336,SR-00336,EQ-0178,Crawler Dozer,35T Class Dozer,SITE-04,2023-08-17,Corrective,High,3119,Hydraulic Line,Overheating,swing movement is slow,high oil temperature,replaced damaged seal kit and performed leak test,Return filter element,TECH-0955,12.77,2.23,9096.65,11021.1,20117.75,Closed
MR-00337,SR-00337,EQ-0209,Motor Grader,14M Class Grader,SITE-04,2023-12-01,Corrective,Medium,4889,Hydraulic Cooler,Oil contamination,swing movement is slow,air entering suction line,replaced damaged seal kit and performed leak test,Pilot filter,TECH-1000,10.38,3.59,28040.12,8201.93,36242.05,Completed
MR-00338,SR-00338,EQ-0107,Hydraulic Excavator,45T Class Excavator,SITE-08,2025-07-09,Corrective,High,2549,Engine Cooling System,Low pilot pressure,travel function loses power on incline,air entering suction line,replaced damaged hose and pressure-tested the circuit,Pilot filter,TECH-0443,3.46,4.37,15985.7,2126.47,18112.17,Completed
MR-00339,SR-00339,EQ-0210,Hydraulic Excavator,20T Class Excavator,SITE-05,2022-05-17,Condition-Based,Medium,5813,Bucket Cylinder,Filter blockage,travel function loses power on incline,air entering suction line,checked pump output and inspected for internal leakage,Hydraulic hose,TECH-0519,1.88,6.51,16266.33,1928.75,18195.08,Completed
MR-00340,SR-00340,EQ-0109,Backhoe Loader,4WD Backhoe Loader,SITE-06,2022-11-17,Condition-Based,High,13185,Arm Cylinder,Hose failure,reduced digging force,sticking spool valve,checked pressure and flow at operating temperature,Pilot filter,TECH-0433,13.82,11.48,9372.67,13447.68,22820.35,Completed
MR-00341,SR-00341,EQ-0091,Hydraulic Excavator,20T Class Excavator,SITE-02,2023-12-05,Condition-Based,Medium,5739,Fuel System,Cooler restriction,visible oil leak near hydraulic line,sticking spool valve,checked accumulator pre-charge and restored it to service specification,Hydraulic filter,TECH-0618,14.6,4.23,29726.44,15636.96,45363.4,Completed
MR-00342,SR-00342,EQ-0015,Crawler Dozer,25T Class Dozer,SITE-03,2024-09-21,Corrective,Medium,11845,Hydraulic Pump,Filter blockage,pump noise increases during operation,worn pump components,checked accumulator pre-charge and restored it to service specification,Pilot filter,TECH-0452,1.08,5.55,39872.81,1120.83,40993.64,Completed
MR-00343,SR-00343,EQ-0143,Hydraulic Excavator,30T Class Excavator,SITE-07,2024-03-13,Corrective,High,10681,Hydraulic Filter,Cylinder seal wear,hydraulic response is jerky,air entering suction line,checked pressure and flow at operating temperature,Cylinder seal kit,TECH-0195,11.77,3.97,4522.68,11447.21,15969.89,Closed
MR-00344,SR-00344,EQ-0030,Hydraulic Excavator,35T Class Excavator,SITE-02,2025-04-10,Corrective,Medium,5107,Hydraulic Tank,Air ingress,hydraulic oil temperature rises during continuous operation,restricted hydraulic line,inspected valve spool movement and cleaned the valve assembly,Pilot filter,TECH-0435,14.82,1.96,23284.3,15422.57,38706.87,Completed
MR-00345,SR-00345,EQ-0011,Crawler Dozer,25T Class Dozer,SITE-08,2025-02-07,Corrective,Medium,3237,Bucket Cylinder,Pump wear,hydraulic oil temperature rises during continuous operation,internal cylinder leakage,checked pressure and flow at operating temperature,Hydraulic oil,TECH-0738,10.65,1.9,10252.87,7321.45,17574.32,Completed
MR-00346,SR-00346,EQ-0239,Crawler Dozer,25T Class Dozer,SITE-02,2026-03-14,Condition-Based,Medium,16136,Engine Cooling System,Restricted flow,arm movement slow after hydraulic oil warms,low pilot supply pressure,cleaned cooler and verified hydraulic oil temperature,Valve O-rings,TECH-0273,12.44,4.53,9917.41,6188.3,16105.71,Completed
MR-00347,SR-00347,EQ-0146,Hydraulic Excavator,20T Class Excavator,SITE-01,2022-08-23,Corrective,Low,11972,Main Control Valve,Oil contamination,hydraulic oil temperature rises during continuous operation,damaged hydraulic hose,replaced damaged seal kit and performed leak test,Pump seal kit,TECH-0293,2.98,3.08,27086.53,2504.4,29590.93,Completed
MR-00348,SR-00348,EQ-0168,Backhoe Loader,4WD Backhoe Loader,SITE-08,2024-01-01,Preventive,Medium,18215,Main Control Valve,Internal leakage,boom movement slow under load,internal cylinder leakage,tested pilot pressure and inspected pilot circuit,Hydraulic hose,TECH-0285,6.57,0.25,4650.62,4420.35,9070.97,Completed
MR-00349,SR-00349,EQ-0170,Backhoe Loader,4WD Backhoe Loader,SITE-04,2024-12-25,Preventive,Low,10417,Hydraulic Cooler,Overheating,bucket cylinder leaking externally,internal cylinder leakage,inspected suction line for air ingress and corrected the connection,Hydraulic oil,TECH-0948,3.44,8.1,52048.28,3493.83,55542.11,Completed
MR-00350,SR-00350,EQ-0181,Motor Grader,16M Class Grader,SITE-05,2025-12-28,Corrective,Medium,3547,Swing Motor,Valve sticking,hydraulic oil temperature rises during continuous operation,restricted hydraulic line,replaced damaged hose and pressure-tested the circuit,Return filter element,TECH-0690,12.53,7.6,35222.66,5936.47,41159.13,Closed
MR-00351,SR-00351,EQ-0154,Wheel Loader,25T Class Wheel Loader,SITE-05,2022-02-22,Corrective,Critical,12296,Accumulator,External leakage,reduced digging force,internal cylinder leakage,inspected hydraulic circuit and isolated the affected component,Accumulator charging kit,TECH-0706,3.37,0.25,4576.41,1694.15,6270.56,Completed
MR-00352,SR-00352,EQ-0067,Hydraulic Excavator,30T Class Excavator,SITE-03,2024-08-01,Condition-Based,Medium,2511,Hydraulic Hose,Air ingress,travel function loses power on incline,worn pump components,replaced restricted hydraulic filter and checked contamination source,Hydraulic oil,TECH-0174,5.82,4.71,19767.72,5681.46,25449.18,Closed
MR-00353,SR-00353,EQ-0238,Wheel Loader,20T Class Wheel Loader,SITE-07,2023-05-07,Corrective,High,3230,Arm Cylinder,Internal leakage,pilot pressure below expected range,restricted return filter,checked pressure and flow at operating temperature,Cylinder seal kit,TECH-0391,6.58,0.25,9480.94,3585.99,13066.93,Completed
MR-00354,SR-00354,EQ-0182,Motor Grader,16M Class Grader,SITE-02,2024-06-02,Preventive,Medium,9883,Swing Motor,Oil contamination,visible oil leak near hydraulic line,damaged hydraulic hose,checked accumulator pre-charge and restored it to service specification,Hydraulic oil,TECH-0260,3.01,3.66,3598.93,2674.52,6273.45,Closed
MR-00355,SR-00355,EQ-0184,Hydraulic Excavator,30T Class Excavator,SITE-04,2022-09-04,Preventive,Medium,13866,Hydraulic Cooler,Oil contamination,reduced digging force,degraded hydraulic fluid,"drained contaminated oil, flushed circuit and refilled with filtered oil",Accumulator charging kit,TECH-0429,1.76,10.15,842.89,1375.22,2218.11,Closed
MR-00356,SR-00356,EQ-0121,Motor Grader,16M Class Grader,SITE-01,2026-03-15,Preventive,Medium,3642,Arm Cylinder,Pump wear,arm movement slow after hydraulic oil warms,sticking spool valve,inspected suction line for air ingress and corrected the connection,Hydraulic line fittings,TECH-0605,11.03,13.09,33350.8,10860.96,44211.76,Closed
MR-00357,SR-00357,EQ-0128,Motor Grader,14M Class Grader,SITE-07,2026-05-31,Corrective,High,2673,Hydraulic Cooler,Cooler restriction,visible oil leak near hydraulic line,blocked cooler core,inspected valve spool movement and cleaned the valve assembly,Cylinder seal kit,TECH-0698,14.55,7.78,273.83,9498.65,9772.48,Completed - Monitor
MR-00358,SR-00358,EQ-0113,Hydraulic Excavator,35T Class Excavator,SITE-06,2024-05-12,Corrective,Low,13977,Bucket Cylinder,Oil contamination,filter restriction indicator activated,high oil temperature,checked pressure and flow at operating temperature,Hydraulic hose,TECH-0395,3.44,3.6,8976.16,3192.68,12168.84,Completed
