technician_id,role,specialization,primary_certification,skill_level,experience_years,shift,employment_type,region,workshop_or_field,active_status
TECH-0229,Workshop Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,7,Evening,Service Partner,South India,Field,Active
TECH-0230,Diagnostic Technician,Hydraulics,Industrial Safety,Junior,1,Day,Permanent,East India,Field,Active
TECH-0231,Workshop Technician,Hydraulics,Hydraulic Systems Level 2,Senior,14,Night,Service Partner,West India,Workshop,Active
TECH-0232,Workshop Technician,General Maintenance,Heavy Equipment Maintenance,Senior,9,Evening,Permanent,South India,Field,Active
TECH-0233,Hydraulic Technician,Powertrain,Heavy Equipment Maintenance,Lead,16,Day,Service Partner,North India,Field,Active
TECH-0234,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Lead,19,Day,Permanent,West India,Field,Active
TECH-0235,Maintenance Technician,Heavy Equipment,Fluid Power Technician,Lead,19,Evening,Permanent,West India,Field,Active
TECH-0236,Hydraulic Technician,Electrical,OEM-Equivalent Service Training,Intermediate,5,Night,Service Partner,South India,Field,Active
TECH-0237,Hydraulic Technician,Electrical,Hydraulic Systems Level 1,Lead,19,Night,Contract,East India,Field,On Rotation
TECH-0238,Workshop Technician,Electrical,Industrial Safety,Junior,3,Day,Service Partner,East India,Workshop,Active
TECH-0239,Workshop Technician,Hydraulics,Hydraulic Systems Level 2,Senior,9,Evening,Permanent,North India,Workshop,On Rotation
TECH-0240,Senior Technician,General Maintenance,Heavy Equipment Maintenance,Lead,17,Day,Permanent,Central India,Field,Active
TECH-0241,Maintenance Technician,Hydraulics,Fluid Power Technician,Senior,14,Evening,Permanent,South India,Field,On Rotation
TECH-0242,Diagnostic Technician,Heavy Equipment,Industrial Safety,Lead,18,Day,Permanent,South India,Field,Active
TECH-0243,Senior Technician,Hydraulics,Industrial Safety,Intermediate,8,Evening,Permanent,East India,Workshop,Active
TECH-0244,Hydraulic Technician,General Maintenance,Hydraulic Systems Level 1,Lead,20,Night,Service Partner,East India,Field,On Rotation
TECH-0245,Senior Technician,Hydraulics,Hydraulic Systems Level 2,Lead,19,Night,Permanent,West India,Workshop,Active
TECH-0246,Field Service Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,19,Night,Permanent,West India,Workshop,Active
TECH-0247,Field Service Technician,Heavy Equipment,Hydraulic Systems Level 2,Junior,1,Day,Contract,West India,Workshop,Active
TECH-0248,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 2,Intermediate,6,Day,Permanent,West India,Field,Active
TECH-0249,Field Service Technician,Hydraulics,Industrial Safety,Senior,10,Night,Permanent,West India,Field,On Rotation
TECH-0250,Diagnostic Technician,Hydraulics,Fluid Power Technician,Lead,16,Day,Service Partner,North India,Field,On Rotation
TECH-0251,Maintenance Technician,Heavy Equipment,Industrial Safety,Intermediate,7,Evening,Permanent,East India,Field,On Rotation
TECH-0252,Workshop Technician,Hydraulics,OEM-Equivalent Service Training,Senior,10,Day,Contract,South India,Field,Active
TECH-0253,Field Service Technician,General Maintenance,Fluid Power Technician,Senior,9,Night,Service Partner,East India,Field,Active
TECH-0254,Maintenance Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,19,Day,Permanent,East India,Field,Active
TECH-0255,Maintenance Technician,Hydraulics,Industrial Safety,Senior,14,Day,Permanent,West India,Field,Active
TECH-0256,Senior Technician,Electrical,Hydraulic Systems Level 1,Senior,14,Evening,Permanent,West India,Field,On Rotation
TECH-0257,Diagnostic Technician,Electrical,Heavy Equipment Maintenance,Junior,3,Day,Permanent,Central India,Workshop,Active
TECH-0258,Maintenance Technician,Hydraulics,Heavy Equipment Maintenance,Lead,17,Evening,Permanent,North India,Field,On Rotation
TECH-0259,Workshop Technician,General Maintenance,OEM-Equivalent Service Training,Junior,2,Evening,Permanent,East India,Workshop,On Rotation
TECH-0260,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 1,Senior,11,Evening,Permanent,South India,Field,On Rotation
TECH-0261,Maintenance Technician,Hydraulics,Fluid Power Technician,Senior,10,Evening,Contract,West India,Field,Active
TECH-0262,Diagnostic Technician,Electrical,Hydraulic Systems Level 1,Senior,10,Day,Permanent,South India,Workshop,On Rotation
TECH-0263,Senior Technician,Hydraulics,OEM-Equivalent Service Training,Senior,12,Day,Permanent,South India,Field,Active
TECH-0264,Field Service Technician,Electrical,Fluid Power Technician,Lead,18,Night,Contract,West India,Field,Active
TECH-0265,Maintenance Technician,Hydraulics,Industrial Safety,Lead,18,Evening,Permanent,West India,Workshop,Active
TECH-0266,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,13,Evening,Permanent,North India,Field,Active
TECH-0267,Hydraulic Technician,Electrical,Industrial Safety,Intermediate,6,Evening,Service Partner,Central India,Field,Active
TECH-0268,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Junior,1,Day,Service Partner,West India,Field,Active
TECH-0269,Senior Technician,Heavy Equipment,Industrial Safety,Junior,3,Evening,Permanent,West India,Field,On Rotation
TECH-0270,Maintenance Technician,Powertrain,Hydraulic Systems Level 2,Lead,15,Night,Permanent,East India,Field,Active
TECH-0271,Hydraulic Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,7,Night,Permanent,South India,Field,Active
TECH-0272,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 1,Lead,20,Day,Permanent,Central India,Workshop,Active
TECH-0273,Hydraulic Technician,Heavy Equipment,Industrial Safety,Lead,15,Evening,Contract,Central India,Field,Active
TECH-0274,Diagnostic Technician,Hydraulics,OEM-Equivalent Service Training,Lead,18,Night,Permanent,West India,Workshop,Active
TECH-0275,Senior Technician,Powertrain,Industrial Safety,Junior,3,Day,Permanent,South India,Field,Active
TECH-0276,Maintenance Technician,Hydraulics,Industrial Safety,Intermediate,6,Day,Permanent,Central India,Field,Active
TECH-0277,Diagnostic Technician,Powertrain,OEM-Equivalent Service Training,Lead,17,Day,Contract,Central India,Field,On Rotation
TECH-0278,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Senior,9,Day,Contract,South India,Field,On Rotation
TECH-0279,Workshop Technician,Hydraulics,Fluid Power Technician,Intermediate,7,Evening,Contract,Central India,Field,Active
TECH-0280,Senior Technician,General Maintenance,Fluid Power Technician,Intermediate,7,Day,Permanent,East India,Field,Active
TECH-0281,Senior Technician,Electrical,Industrial Safety,Senior,13,Night,Service Partner,West India,Field,On Rotation
TECH-0282,Senior Technician,Hydraulics,Fluid Power Technician,Senior,11,Day,Service Partner,East India,Workshop,Active
TECH-0283,Maintenance Technician,Heavy Equipment,Fluid Power Technician,Senior,10,Evening,Permanent,West India,Field,Active
TECH-0284,Field Service Technician,General Maintenance,Industrial Safety,Junior,3,Day,Permanent,North India,Field,On Rotation
TECH-0285,Diagnostic Technician,Electrical,Hydraulic Systems Level 1,Intermediate,4,Day,Contract,Central India,Workshop,Active
TECH-0286,Workshop Technician,Powertrain,Fluid Power Technician,Junior,2,Evening,Permanent,Central India,Workshop,Active
TECH-0287,Senior Technician,Powertrain,Heavy Equipment Maintenance,Junior,2,Evening,Contract,West India,Field,On Rotation
TECH-0288,Hydraulic Technician,Heavy Equipment,Heavy Equipment Maintenance,Junior,1,Evening,Permanent,South India,Field,Active
TECH-0289,Senior Technician,Heavy Equipment,Heavy Equipment Maintenance,Lead,18,Evening,Contract,South India,Workshop,Active
TECH-0290,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,16,Evening,Permanent,South India,Field,Active
TECH-0291,Diagnostic Technician,Powertrain,Hydraulic Systems Level 2,Lead,20,Day,Permanent,South India,Workshop,Active
TECH-0292,Workshop Technician,Heavy Equipment,Fluid Power Technician,Lead,18,Evening,Permanent,North India,Workshop,Active
TECH-0293,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 2,Junior,1,Evening,Permanent,North India,Field,Active
TECH-0294,Maintenance Technician,General Maintenance,Heavy Equipment Maintenance,Intermediate,4,Evening,Permanent,Central India,Field,Active
TECH-0295,Workshop Technician,Heavy Equipment,Fluid Power Technician,Junior,1,Night,Contract,East India,Field,Active
TECH-0296,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 2,Lead,19,Day,Service Partner,Central India,Field,On Rotation
TECH-0297,Senior Technician,Hydraulics,Industrial Safety,Lead,20,Night,Permanent,South India,Field,Active
TECH-0298,Diagnostic Technician,General Maintenance,Industrial Safety,Lead,16,Day,Permanent,East India,Workshop,On Rotation
TECH-0299,Senior Technician,Powertrain,Fluid Power Technician,Junior,2,Evening,Permanent,Central India,Field,Active
TECH-0300,Hydraulic Technician,General Maintenance,Heavy Equipment Maintenance,Lead,15,Day,Permanent,Central India,Field,Active
TECH-0301,Field Service Technician,Heavy Equipment,Industrial Safety,Intermediate,8,Evening,Permanent,West India,Field,On Rotation
TECH-0302,Diagnostic Technician,General Maintenance,Fluid Power Technician,Lead,20,Night,Permanent,East India,Field,Active
TECH-0303,Workshop Technician,Hydraulics,Hydraulic Systems Level 1,Senior,11,Night,Permanent,South India,Field,On Rotation
TECH-0304,Field Service Technician,Heavy Equipment,Hydraulic Systems Level 2,Intermediate,7,Evening,Permanent,East India,Field,Active
TECH-0305,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Junior,3,Night,Permanent,North India,Field,Active
TECH-0306,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,12,Evening,Service Partner,West India,Field,Active
TECH-0307,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Lead,20,Evening,Permanent,Central India,Field,Active
TECH-0308,Workshop Technician,Heavy Equipment,Industrial Safety,Junior,3,Evening,Permanent,East India,Field,Active
TECH-0309,Senior Technician,General Maintenance,Heavy Equipment Maintenance,Senior,10,Day,Permanent,North India,Workshop,On Rotation
TECH-0310,Senior Technician,Powertrain,Hydraulic Systems Level 2,Intermediate,8,Night,Service Partner,Central India,Workshop,Active
TECH-0311,Field Service Technician,General Maintenance,Heavy Equipment Maintenance,Intermediate,8,Day,Permanent,West India,Field,Active
TECH-0312,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Lead,18,Evening,Permanent,Central India,Workshop,On Rotation
TECH-0313,Senior Technician,Hydraulics,Industrial Safety,Lead,16,Day,Service Partner,East India,Field,Active
TECH-0314,Diagnostic Technician,General Maintenance,Heavy Equipment Maintenance,Lead,19,Evening,Contract,East India,Workshop,Active
TECH-0315,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Senior,10,Evening,Permanent,North India,Field,Active
TECH-0316,Diagnostic Technician,Electrical,OEM-Equivalent Service Training,Intermediate,7,Evening,Contract,South India,Field,Active
TECH-0317,Hydraulic Technician,General Maintenance,OEM-Equivalent Service Training,Intermediate,6,Night,Service Partner,West India,Workshop,On Rotation
TECH-0318,Hydraulic Technician,General Maintenance,Fluid Power Technician,Intermediate,8,Evening,Permanent,North India,Field,Active
TECH-0319,Hydraulic Technician,Hydraulics,Fluid Power Technician,Junior,2,Day,Permanent,Central India,Field,On Rotation
TECH-0320,Senior Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,14,Evening,Permanent,West India,Field,On Rotation
TECH-0321,Workshop Technician,Electrical,Fluid Power Technician,Lead,15,Evening,Service Partner,West India,Workshop,Active
TECH-0322,Workshop Technician,Electrical,Hydraulic Systems Level 1,Intermediate,7,Evening,Contract,South India,Field,On Rotation
TECH-0323,Workshop Technician,Electrical,Hydraulic Systems Level 1,Intermediate,5,Evening,Service Partner,West India,Field,Active
TECH-0324,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Senior,11,Night,Permanent,Central India,Field,Active
TECH-0325,Maintenance Technician,Electrical,Heavy Equipment Maintenance,Intermediate,4,Night,Permanent,North India,Field,Active
TECH-0326,Senior Technician,Heavy Equipment,Hydraulic Systems Level 2,Intermediate,7,Evening,Permanent,West India,Field,Active
TECH-0327,Maintenance Technician,Electrical,Industrial Safety,Junior,3,Night,Permanent,North India,Workshop,On Rotation
TECH-0328,Field Service Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,6,Day,Contract,West India,Field,Active
TECH-0329,Hydraulic Technician,Heavy Equipment,Hydraulic Systems Level 1,Intermediate,4,Night,Permanent,South India,Workshop,On Rotation
TECH-0330,Diagnostic Technician,Hydraulics,Industrial Safety,Senior,10,Night,Permanent,Central India,Workshop,Active
TECH-0331,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,18,Evening,Contract,East India,Field,Active
TECH-0332,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,11,Day,Permanent,Central India,Field,On Rotation
TECH-0333,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 1,Intermediate,7,Night,Permanent,West India,Workshop,Active
TECH-0334,Field Service Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,9,Evening,Contract,West India,Field,Active
TECH-0335,Hydraulic Technician,Electrical,Fluid Power Technician,Senior,9,Night,Permanent,South India,Workshop,Active
TECH-0336,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Lead,18,Evening,Permanent,East India,Field,Active
TECH-0337,Hydraulic Technician,Heavy Equipment,Hydraulic Systems Level 2,Lead,16,Night,Permanent,Central India,Workshop,Active
TECH-0338,Hydraulic Technician,Electrical,Fluid Power Technician,Senior,11,Evening,Contract,South India,Field,Active
TECH-0339,Maintenance Technician,Hydraulics,Fluid Power Technician,Lead,16,Day,Contract,East India,Field,On Rotation
TECH-0340,Diagnostic Technician,Electrical,Fluid Power Technician,Senior,12,Night,Contract,East India,Field,Active
TECH-0341,Senior Technician,General Maintenance,OEM-Equivalent Service Training,Senior,9,Day,Permanent,South India,Workshop,Active
TECH-0342,Maintenance Technician,Powertrain,Hydraulic Systems Level 1,Senior,11,Night,Service Partner,West India,Workshop,Active
TECH-0343,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 2,Intermediate,5,Night,Permanent,North India,Field,Active
TECH-0344,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Junior,3,Day,Permanent,South India,Field,Active
TECH-0345,Hydraulic Technician,Powertrain,Hydraulic Systems Level 2,Intermediate,7,Night,Permanent,East India,Field,On Rotation
TECH-0346,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,11,Night,Service Partner,Central India,Field,On Rotation
TECH-0347,Senior Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,11,Night,Contract,West India,Field,On Rotation
TECH-0348,Field Service Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,13,Day,Permanent,North India,Workshop,Active
TECH-0349,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 1,Lead,16,Day,Service Partner,West India,Field,Active
TECH-0350,Field Service Technician,Heavy Equipment,OEM-Equivalent Service Training,Senior,9,Day,Permanent,West India,Workshop,Active
TECH-0351,Hydraulic Technician,Powertrain,OEM-Equivalent Service Training,Lead,16,Day,Service Partner,Central India,Workshop,On Rotation
TECH-0352,Maintenance Technician,Hydraulics,Industrial Safety,Junior,2,Night,Contract,South India,Field,Active
TECH-0353,Maintenance Technician,General Maintenance,Industrial Safety,Senior,11,Night,Permanent,Central India,Field,Active
TECH-0354,Maintenance Technician,Hydraulics,Hydraulic Systems Level 2,Senior,11,Night,Permanent,East India,Field,Active
TECH-0355,Hydraulic Technician,Heavy Equipment,Fluid Power Technician,Lead,16,Day,Permanent,South India,Field,On Rotation
TECH-0356,Maintenance Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,13,Night,Permanent,East India,Workshop,On Rotation
TECH-0357,Senior Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,10,Night,Permanent,Central India,Field,Active
TECH-0358,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Intermediate,5,Evening,Permanent,Central India,Field,Active
TECH-0359,Diagnostic Technician,Hydraulics,Industrial Safety,Intermediate,6,Evening,Permanent,South India,Field,Active
TECH-0360,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Lead,19,Day,Permanent,West India,Field,Active
TECH-0361,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Junior,3,Evening,Permanent,East India,Field,Active
TECH-0362,Field Service Technician,General Maintenance,Heavy Equipment Maintenance,Senior,9,Day,Permanent,South India,Workshop,Active
TECH-0363,Senior Technician,Powertrain,OEM-Equivalent Service Training,Senior,12,Night,Permanent,West India,Field,On Rotation
TECH-0364,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Lead,18,Evening,Service Partner,West India,Workshop,Active
TECH-0365,Maintenance Technician,Powertrain,Hydraulic Systems Level 2,Senior,10,Night,Permanent,East India,Field,On Rotation
TECH-0366,Workshop Technician,Hydraulics,OEM-Equivalent Service Training,Senior,13,Evening,Contract,South India,Field,Active
TECH-0367,Hydraulic Technician,General Maintenance,Fluid Power Technician,Lead,17,Day,Contract,North India,Field,On Rotation
TECH-0368,Field Service Technician,Powertrain,OEM-Equivalent Service Training,Lead,18,Day,Permanent,West India,Field,Active
TECH-0369,Maintenance Technician,Powertrain,OEM-Equivalent Service Training,Senior,10,Evening,Permanent,Central India,Workshop,Active
TECH-0370,Workshop Technician,Heavy Equipment,Industrial Safety,Lead,19,Day,Permanent,Central India,Field,Active
TECH-0371,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 1,Intermediate,4,Night,Permanent,North India,Field,Active
TECH-0372,Hydraulic Technician,Electrical,Hydraulic Systems Level 1,Junior,3,Night,Service Partner,Central India,Workshop,Active
TECH-0373,Field Service Technician,General Maintenance,Industrial Safety,Intermediate,4,Evening,Permanent,North India,Field,Active
TECH-0374,Hydraulic Technician,General Maintenance,Hydraulic Systems Level 1,Intermediate,7,Night,Service Partner,Central India,Field,Active
TECH-0375,Hydraulic Technician,Heavy Equipment,Heavy Equipment Maintenance,Junior,3,Day,Permanent,South India,Field,Active
TECH-0376,Maintenance Technician,Powertrain,Hydraulic Systems Level 2,Intermediate,6,Day,Service Partner,Central India,Workshop,Active
TECH-0377,Senior Technician,Powertrain,Hydraulic Systems Level 2,Intermediate,4,Night,Service Partner,South India,Field,Active
TECH-0378,Field Service Technician,Powertrain,Hydraulic Systems Level 2,Lead,15,Day,Permanent,East India,Field,Active
TECH-0379,Field Service Technician,Powertrain,OEM-Equivalent Service Training,Lead,19,Night,Contract,South India,Field,Active
TECH-0380,Senior Technician,Heavy Equipment,Industrial Safety,Lead,18,Evening,Permanent,Central India,Field,On Rotation
TECH-0381,Workshop Technician,Heavy Equipment,Heavy Equipment Maintenance,Senior,13,Day,Contract,South India,Workshop,Active
TECH-0382,Senior Technician,Hydraulics,Hydraulic Systems Level 2,Senior,14,Day,Contract,West India,Workshop,Active
TECH-0383,Workshop Technician,Powertrain,OEM-Equivalent Service Training,Senior,10,Day,Contract,North India,Field,On Rotation
TECH-0384,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,12,Evening,Contract,East India,Field,Active
TECH-0385,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Intermediate,4,Day,Service Partner,South India,Field,Active
TECH-0386,Workshop Technician,Hydraulics,Heavy Equipment Maintenance,Senior,10,Day,Permanent,South India,Workshop,On Rotation
TECH-0387,Senior Technician,Hydraulics,Hydraulic Systems Level 2,Lead,15,Day,Permanent,Central India,Workshop,Active
TECH-0388,Workshop Technician,Heavy Equipment,Heavy Equipment Maintenance,Senior,14,Night,Service Partner,South India,Field,Active
TECH-0389,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 2,Senior,14,Night,Permanent,Central India,Workshop,Active
TECH-0390,Senior Technician,Heavy Equipment,Heavy Equipment Maintenance,Senior,13,Evening,Permanent,Central India,Field,Active
TECH-0391,Senior Technician,Heavy Equipment,Hydraulic Systems Level 1,Intermediate,5,Day,Service Partner,West India,Field,Active
TECH-0392,Maintenance Technician,Hydraulics,Hydraulic Systems Level 1,Lead,19,Night,Permanent,West India,Workshop,Active
TECH-0393,Workshop Technician,Electrical,Hydraulic Systems Level 1,Junior,2,Night,Service Partner,North India,Field,Active
TECH-0394,Senior Technician,Hydraulics,Hydraulic Systems Level 2,Junior,2,Day,Permanent,West India,Workshop,Active
TECH-0395,Workshop Technician,Hydraulics,Fluid Power Technician,Lead,17,Day,Permanent,North India,Workshop,Active
TECH-0396,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 2,Intermediate,8,Night,Service Partner,South India,Field,Active
TECH-0397,Field Service Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,6,Day,Permanent,Central India,Field,On Rotation
TECH-0398,Diagnostic Technician,Electrical,Hydraulic Systems Level 2,Junior,2,Evening,Contract,East India,Field,Active
TECH-0399,Hydraulic Technician,General Maintenance,Hydraulic Systems Level 2,Senior,9,Day,Permanent,West India,Field,Active
TECH-0400,Maintenance Technician,Powertrain,Hydraulic Systems Level 1,Junior,1,Day,Contract,Central India,Field,Active
TECH-0401,Field Service Technician,Hydraulics,Industrial Safety,Senior,14,Day,Permanent,South India,Field,Active
TECH-0402,Senior Technician,Hydraulics,OEM-Equivalent Service Training,Intermediate,6,Night,Service Partner,South India,Workshop,Active
TECH-0403,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Senior,11,Night,Contract,East India,Field,On Rotation
TECH-0404,Workshop Technician,Heavy Equipment,Hydraulic Systems Level 1,Junior,2,Day,Permanent,East India,Field,On Rotation
TECH-0405,Workshop Technician,Powertrain,Hydraulic Systems Level 1,Intermediate,6,Night,Contract,South India,Field,On Rotation
TECH-0406,Field Service Technician,Heavy Equipment,Hydraulic Systems Level 2,Intermediate,7,Evening,Permanent,West India,Field,Active
TECH-0407,Field Service Technician,Hydraulics,Industrial Safety,Junior,1,Night,Permanent,North India,Workshop,On Rotation
TECH-0408,Field Service Technician,Powertrain,Hydraulic Systems Level 1,Lead,19,Evening,Contract,West India,Field,Active
TECH-0409,Field Service Technician,Powertrain,Hydraulic Systems Level 2,Senior,11,Night,Contract,South India,Workshop,Active
TECH-0410,Workshop Technician,Hydraulics,Hydraulic Systems Level 1,Senior,10,Night,Permanent,North India,Field,Active
TECH-0411,Diagnostic Technician,Hydraulics,Industrial Safety,Senior,13,Evening,Permanent,South India,Field,Active
TECH-0412,Workshop Technician,General Maintenance,Hydraulic Systems Level 1,Lead,19,Day,Permanent,West India,Field,Active
TECH-0413,Senior Technician,Powertrain,Hydraulic Systems Level 2,Intermediate,5,Evening,Permanent,West India,Field,Active
TECH-0414,Field Service Technician,General Maintenance,OEM-Equivalent Service Training,Senior,12,Night,Service Partner,Central India,Field,On Rotation
TECH-0415,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 1,Senior,11,Day,Permanent,West India,Field,Active
TECH-0416,Maintenance Technician,Powertrain,Fluid Power Technician,Senior,13,Night,Permanent,North India,Workshop,Active
TECH-0417,Maintenance Technician,Hydraulics,Industrial Safety,Intermediate,6,Day,Permanent,Central India,Workshop,Active
TECH-0418,Workshop Technician,Powertrain,Hydraulic Systems Level 2,Junior,1,Day,Contract,Central India,Field,Active
TECH-0419,Senior Technician,Heavy Equipment,Hydraulic Systems Level 2,Intermediate,6,Evening,Permanent,South India,Field,Active
TECH-0420,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Senior,11,Night,Permanent,West India,Field,Active
TECH-0421,Diagnostic Technician,Heavy Equipment,Industrial Safety,Senior,14,Night,Permanent,South India,Field,Active
TECH-0422,Maintenance Technician,Electrical,OEM-Equivalent Service Training,Intermediate,6,Night,Permanent,South India,Field,On Rotation
TECH-0423,Hydraulic Technician,Heavy Equipment,Industrial Safety,Senior,9,Day,Contract,South India,Field,Active
TECH-0424,Senior Technician,Hydraulics,Hydraulic Systems Level 1,Intermediate,6,Day,Contract,West India,Field,Active
TECH-0425,Maintenance Technician,Hydraulics,Heavy Equipment Maintenance,Lead,17,Day,Contract,West India,Field,On Rotation
TECH-0426,Diagnostic Technician,Heavy Equipment,Hydraulic Systems Level 2,Lead,19,Evening,Contract,East India,Workshop,Active
TECH-0427,Maintenance Technician,Heavy Equipment,Hydraulic Systems Level 1,Intermediate,4,Day,Permanent,North India,Field,Active
TECH-0428,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 1,Junior,1,Day,Permanent,South India,Field,Active
TECH-0429,Field Service Technician,Heavy Equipment,Heavy Equipment Maintenance,Junior,1,Evening,Contract,North India,Field,Active
TECH-0430,Maintenance Technician,General Maintenance,Heavy Equipment Maintenance,Intermediate,5,Night,Permanent,Central India,Field,Active
TECH-0431,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Junior,3,Day,Service Partner,South India,Field,Active
TECH-0432,Field Service Technician,Hydraulics,Heavy Equipment Maintenance,Lead,19,Evening,Permanent,South India,Workshop,On Rotation
TECH-0433,Senior Technician,Powertrain,Heavy Equipment Maintenance,Senior,11,Day,Permanent,South India,Field,Active
TECH-0434,Field Service Technician,Hydraulics,Hydraulic Systems Level 2,Junior,2,Day,Permanent,North India,Workshop,Active
TECH-0435,Senior Technician,General Maintenance,Fluid Power Technician,Senior,12,Evening,Contract,Central India,Field,Active
TECH-0436,Diagnostic Technician,Hydraulics,Industrial Safety,Junior,2,Day,Permanent,East India,Field,Active
TECH-0437,Senior Technician,General Maintenance,Industrial Safety,Intermediate,7,Day,Permanent,South India,Workshop,Active
TECH-0438,Field Service Technician,Hydraulics,Industrial Safety,Intermediate,8,Evening,Contract,Central India,Field,On Rotation
TECH-0439,Workshop Technician,Heavy Equipment,Fluid Power Technician,Lead,18,Day,Permanent,Central India,Field,Active
TECH-0440,Maintenance Technician,Heavy Equipment,OEM-Equivalent Service Training,Intermediate,5,Evening,Permanent,East India,Field,Active
TECH-0441,Hydraulic Technician,Hydraulics,Hydraulic Systems Level 2,Lead,18,Evening,Permanent,South India,Field,Active
TECH-0442,Workshop Technician,Powertrain,Heavy Equipment Maintenance,Senior,12,Day,Permanent,South India,Field,On Rotation
TECH-0443,Diagnostic Technician,Hydraulics,Heavy Equipment Maintenance,Lead,18,Evening,Permanent,North India,Workshop,Active
TECH-0444,Maintenance Technician,General Maintenance,Hydraulic Systems Level 1,Senior,11,Day,Service Partner,East India,Field,On Rotation
TECH-0445,Hydraulic Technician,Powertrain,Fluid Power Technician,Senior,11,Evening,Service Partner,East India,Field,Active
TECH-0446,Field Service Technician,Powertrain,Hydraulic Systems Level 2,Lead,18,Night,Permanent,West India,Workshop,Active
TECH-0447,Field Service Technician,Hydraulics,Hydraulic Systems Level 1,Lead,18,Night,Permanent,Central India,Workshop,Active
TECH-0448,Senior Technician,General Maintenance,Hydraulic Systems Level 1,Senior,9,Night,Contract,East India,Field,Active
TECH-0449,Senior Technician,Hydraulics,Industrial Safety,Lead,18,Evening,Permanent,East India,Field,Active
TECH-0450,Hydraulic Technician,Hydraulics,Heavy Equipment Maintenance,Senior,10,Evening,Contract,North India,Workshop,Active
TECH-0451,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 2,Intermediate,6,Evening,Permanent,West India,Field,Active
TECH-0452,Field Service Technician,General Maintenance,Industrial Safety,Senior,14,Night,Contract,North India,Field,Active
TECH-0453,Diagnostic Technician,Hydraulics,Industrial Safety,Lead,19,Day,Permanent,Central India,Field,Active
TECH-0454,Field Service Technician,Heavy Equipment,Hydraulic Systems Level 2,Senior,9,Day,Permanent,South India,Field,Active
TECH-0455,Diagnostic Technician,Hydraulics,Hydraulic Systems Level 1,Junior,3,Night,Contract,West India,Workshop,Active
TECH-0456,Workshop Technician,Heavy Equipment,OEM-Equivalent Service Training,Junior,1,Day,Permanent,South India,Workshop,On Rotation
TECH-0457,Diagnostic Technician,General Maintenance,Hydraulic Systems Level 1,Intermediate,6,Day,Contract,West India,Workshop,Active
TECH-0458,Field Service Technician,Hydraulics,Industrial Safety,Intermediate,7,Night,Contract,South India,Field,Active
