case_id,machine_id,component,failure,symptoms,resolution
CASE-0185,MC-017,Pilot System,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0186,EXC-006,Hydraulic Line,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0187,MC-012,Pilot System,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Flushed oil cooler core and replaced fan motor
CASE-0188,EXC-001,Oil Cooler,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0189,EXC-008,Oil Cooler,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0190,EXC-003,Main Control Valve,Air ingress,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0191,MC-005,Main Control Valve,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0192,EXC-001,Boom Cylinder,Air ingress,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0193,MC-002,Pilot System,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0194,MC-017,Hydraulic Oil,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0195,MC-003,Hydraulic Pump,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0196,EXC-004,Hydraulic Pump,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0197,MC-009,Hydraulic Oil,Air ingress,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0198,EXC-008,Main Control Valve,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0199,MC-003,Hydraulic Pump,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0200,EXC-005,Oil Cooler,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0201,MC-009,Hydraulic Oil,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0202,MC-015,Hydraulic Line,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0203,MC-020,Hydraulic Pump,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0204,MC-020,Bucket Cylinder,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0205,MC-008,Bucket Cylinder,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0206,MC-015,Hydraulic Pump,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0207,MC-001,Travel Motor,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0208,MC-003,Arm Cylinder,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0209,MC-004,Hydraulic Line,Internal pump leakage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0210,MC-016,Oil Cooler,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0211,MC-007,Travel Motor,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0212,MC-005,Pilot System,Pilot pressure drop,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0213,MC-005,Oil Cooler,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0214,MC-018,Travel Motor,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0215,MC-009,Boom Cylinder,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0216,MC-013,Hydraulic Oil,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0217,MC-008,Bucket Cylinder,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0218,MC-014,Hydraulic Line,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0219,MC-019,Swing Motor,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0220,EXC-009,Swing Motor,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0221,MC-009,Hydraulic Filter,Pilot pressure drop,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0222,EXC-006,Boom Cylinder,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0223,MC-018,Main Control Valve,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0224,MC-001,Pilot System,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0225,EXC-007,Hydraulic Oil,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0226,MC-001,Main Control Valve,Air ingress,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0227,MC-011,Oil Cooler,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0228,MC-006,Hydraulic Line,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Bled hydraulic lines and replaced damaged fittings
CASE-0229,EXC-003,Travel Motor,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0230,MC-002,Accumulator,Air ingress,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0231,MC-018,Arm Cylinder,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0232,MC-005,Arm Cylinder,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0233,MC-010,Travel Motor,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0234,EXC-004,Swing Motor,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0235,MC-015,Hydraulic Line,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0236,MC-010,Hydraulic Oil,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0237,MC-009,Oil Cooler,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0238,MC-006,Arm Cylinder,Cooler restriction,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0239,MC-007,Hydraulic Oil,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0240,MC-008,Pilot System,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Flushed oil cooler core and replaced fan motor
CASE-0241,MC-003,Bucket Cylinder,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0242,EXC-008,Oil Cooler,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Cleaned spool valve linkage and replaced valve seals
CASE-0243,EXC-007,Hydraulic Line,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0244,MC-018,Bucket Cylinder,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0245,MC-007,Hydraulic Oil,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0246,EXC-008,Accumulator,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0247,EXC-003,Swing Motor,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0248,MC-002,Hydraulic Filter,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0249,MC-011,Swing Motor,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0250,EXC-001,Arm Cylinder,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0251,MC-015,Accumulator,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0252,EXC-008,Hydraulic Filter,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0253,EXC-003,Hydraulic Oil,Air ingress,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0254,MC-006,Hydraulic Line,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0255,MC-017,Swing Motor,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Replaced pilot pressure reducing valve and pilot filter
CASE-0256,MC-017,Hydraulic Line,Line restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0257,EXC-009,Pilot System,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0258,MC-016,Pilot System,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0259,EXC-008,Hydraulic Pump,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0260,EXC-005,Hydraulic Pump,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0261,MC-002,Hydraulic Pump,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0262,MC-006,Oil Cooler,Cylinder seal wear,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0263,MC-018,Pilot System,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0264,MC-013,Bucket Cylinder,Line restriction,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0265,MC-011,Pilot System,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0266,EXC-002,Pilot System,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0267,MC-006,Main Control Valve,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Cleaned spool valve linkage and replaced valve seals
CASE-0268,EXC-005,Hydraulic Pump,Accumulator pressure loss,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0269,EXC-002,Hydraulic Filter,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0270,MC-002,Accumulator,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0271,MC-020,Hydraulic Oil,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0272,EXC-003,Swing Motor,Filter blockage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0273,EXC-006,Pilot System,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0274,MC-013,Oil Cooler,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0275,MC-006,Oil Cooler,Line restriction,Boom is slow; Arm is slow; Weak digging force,Flushed oil cooler core and replaced fan motor
CASE-0276,MC-008,Hydraulic Oil,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0277,MC-005,Arm Cylinder,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0278,MC-007,Pilot System,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0279,EXC-004,Oil Cooler,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0280,MC-013,Arm Cylinder,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Cleaned spool valve linkage and replaced valve seals
CASE-0281,EXC-003,Oil Cooler,Internal pump leakage,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0282,MC-013,Accumulator,Accumulator pressure loss,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0283,EXC-001,Hydraulic Oil,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0284,EXC-002,Boom Cylinder,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0285,EXC-007,Bucket Cylinder,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Replaced worn hydraulic hose near swing joint
CASE-0286,MC-014,Arm Cylinder,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced cylinder seals and holding valve
CASE-0287,EXC-005,Pilot System,Accumulator pressure loss,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0288,EXC-002,Travel Motor,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0289,MC-011,Hydraulic Oil,Air ingress,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Flushed oil cooler core and replaced fan motor
CASE-0290,MC-017,Pilot System,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0291,MC-010,Accumulator,Cylinder seal wear,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0292,MC-013,Hydraulic Pump,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0293,MC-005,Hydraulic Pump,Internal pump leakage,Functions drift down when idle; Pressure drop under load; Sluggish response,Bled hydraulic lines and replaced damaged fittings
CASE-0294,EXC-005,Hydraulic Line,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0295,MC-001,Pilot System,Air ingress,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0296,MC-008,Bucket Cylinder,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0297,MC-009,Arm Cylinder,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0298,EXC-007,Swing Motor,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0299,EXC-003,Travel Motor,Valve spool binding,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0300,EXC-002,Oil Cooler,Line restriction,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0301,MC-014,Hydraulic Oil,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Rebuilt main pump assembly and replaced seals
CASE-0302,MC-005,Travel Motor,Air ingress,Boom is slow; Arm is slow; Weak digging force,Replaced worn hydraulic hose near swing joint
CASE-0303,MC-020,Oil Cooler,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Rebuilt main pump assembly and replaced seals
CASE-0304,MC-014,Travel Motor,Pilot pressure drop,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced worn hydraulic hose near swing joint
CASE-0305,EXC-001,Bucket Cylinder,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced hydraulic filter element and cleaned suction strainer
CASE-0306,MC-011,Hydraulic Filter,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Cleaned spool valve linkage and replaced valve seals
CASE-0307,MC-008,Hydraulic Oil,Line restriction,Jerky cylinder movement; Inconsistent control response; System noise,Rebuilt main pump assembly and replaced seals
CASE-0308,MC-006,Boom Cylinder,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0309,MC-020,Oil Cooler,Filter blockage,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0310,EXC-006,Pilot System,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0311,MC-014,Accumulator,Line restriction,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced pilot pressure reducing valve and pilot filter
CASE-0312,MC-020,Travel Motor,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Flushed oil cooler core and replaced fan motor
CASE-0313,MC-007,Hydraulic Filter,Pilot pressure drop,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0314,MC-007,Bucket Cylinder,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0315,MC-013,Pilot System,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0316,EXC-008,Arm Cylinder,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0317,MC-005,Hydraulic Pump,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0318,EXC-009,Pilot System,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0319,MC-001,Bucket Cylinder,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0320,EXC-003,Pilot System,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Bled hydraulic lines and replaced damaged fittings
CASE-0321,EXC-007,Accumulator,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0322,EXC-006,Swing Motor,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0323,MC-002,Main Control Valve,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0324,MC-015,Main Control Valve,Air ingress,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Rebuilt main pump assembly and replaced seals
CASE-0325,EXC-005,Accumulator,Cooler restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0326,MC-005,Main Control Valve,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0327,EXC-001,Hydraulic Pump,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced worn hydraulic hose near swing joint
CASE-0328,MC-014,Hydraulic Line,Cylinder seal wear,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0329,MC-001,Hydraulic Filter,Filter blockage,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced cylinder seals and holding valve
CASE-0330,EXC-003,Hydraulic Oil,Valve spool binding,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Recharged accumulator pre-charge to specification
CASE-0331,EXC-007,Hydraulic Line,Oil contamination,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0332,MC-011,Boom Cylinder,Air ingress,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0333,MC-005,Travel Motor,Accumulator pressure loss,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced worn hydraulic hose near swing joint
CASE-0334,MC-007,Pilot System,Line restriction,Boom is slow; Arm is slow; Weak digging force,Rebuilt main pump assembly and replaced seals
CASE-0335,EXC-002,Main Control Valve,Cylinder seal wear,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced hydraulic filter element and cleaned suction strainer
CASE-0336,MC-020,Hydraulic Line,Line restriction,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0337,MC-010,Hydraulic Line,Cooler restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0338,MC-010,Hydraulic Line,Internal pump leakage,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0339,EXC-003,Swing Motor,Oil contamination,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Bled hydraulic lines and replaced damaged fittings
CASE-0340,MC-017,Boom Cylinder,Accumulator pressure loss,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0341,EXC-001,Main Control Valve,Oil contamination,Jerky cylinder movement; Inconsistent control response; System noise,Bled hydraulic lines and replaced damaged fittings
CASE-0342,EXC-006,Boom Cylinder,Internal pump leakage,Jerky cylinder movement; Inconsistent control response; System noise,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0343,EXC-006,Swing Motor,Pilot pressure drop,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0344,EXC-001,Accumulator,Valve spool binding,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0345,MC-011,Bucket Cylinder,Filter blockage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced cylinder seals and holding valve
CASE-0346,EXC-003,Pilot System,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0347,MC-014,Hydraulic Pump,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced worn hydraulic hose near swing joint
CASE-0348,MC-003,Hydraulic Line,Valve spool binding,Functions drift down when idle; Pressure drop under load; Sluggish response,Recharged accumulator pre-charge to specification
CASE-0349,MC-016,Swing Motor,Cooler restriction,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0350,MC-006,Travel Motor,Line restriction,Boom is slow; Arm is slow; Weak digging force,Replaced cylinder seals and holding valve
CASE-0351,EXC-006,Oil Cooler,Air ingress,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced hydraulic filter element and cleaned suction strainer
CASE-0352,MC-005,Hydraulic Filter,Valve spool binding,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Bled hydraulic lines and replaced damaged fittings
CASE-0353,MC-020,Travel Motor,Cylinder seal wear,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0354,MC-011,Swing Motor,Oil contamination,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Cleaned spool valve linkage and replaced valve seals
CASE-0355,MC-003,Oil Cooler,Internal pump leakage,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Recharged accumulator pre-charge to specification
CASE-0356,MC-019,Swing Motor,Line restriction,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Recharged accumulator pre-charge to specification
CASE-0357,MC-004,Hydraulic Oil,Filter blockage,Functions drift down when idle; Pressure drop under load; Sluggish response,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0358,EXC-009,Accumulator,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Cleaned spool valve linkage and replaced valve seals
CASE-0359,MC-014,Swing Motor,Cylinder seal wear,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,"Drained hydraulic oil, flushed system, replaced breather cap, refilled"
CASE-0360,EXC-004,Swing Motor,Pilot pressure drop,Filter indicator light on; System-wide power loss; Foamy oil in reservoir,Replaced pilot pressure reducing valve and pilot filter
CASE-0361,EXC-004,Hydraulic Pump,Cooler restriction,Jerky cylinder movement; Inconsistent control response; System noise,Replaced hydraulic filter element and cleaned suction strainer
CASE-0362,MC-015,Swing Motor,Accumulator pressure loss,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Replaced hydraulic filter element and cleaned suction strainer
CASE-0363,MC-007,Hydraulic Line,Filter blockage,Jerky cylinder movement; Inconsistent control response; System noise,Flushed oil cooler core and replaced fan motor
CASE-0364,EXC-005,Arm Cylinder,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
CASE-0365,MC-010,Main Control Valve,Valve spool binding,Hydraulic oil temperature high; Performance degrades when hot; Slow speed,Rebuilt main pump assembly and replaced seals
CASE-0366,EXC-002,Hydraulic Pump,Oil contamination,Boom is slow; Arm is slow; Weak digging force,Replaced pilot pressure reducing valve and pilot filter
CASE-0367,MC-002,Pilot System,Oil contamination,Levers feel light and unresponsive; Delayed function response; Uneven function speed,Replaced cylinder seals and holding valve
CASE-0368,MC-008,Arm Cylinder,Air ingress,Boom is slow; Arm is slow; Weak digging force,Recharged accumulator pre-charge to specification
CASE-0369,MC-015,Main Control Valve,Line restriction,Functions drift down when idle; Pressure drop under load; Sluggish response,Replaced pilot pressure reducing valve and pilot filter
