service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00111,MR-00111,EQ-0043,TECH-0008,2023-04-22,Inspection,Night,15136,Bucket Cylinder: Internal leakage; observed symptom: hydraulic response is jerky.,Leak inspection and functional test,high oil temperature,tested pilot pressure and inspected pilot circuit,Cooler gasket set,Test passed; monitor during next shift,15.05,5.73,59452.35,2023-08-13,Closed,"Technician checked Bucket Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00112,MR-00112,EQ-0208,TECH-0128,2025-09-08,Condition-Based,Evening,6280,Hydraulic Filter: Cylinder seal wear; observed symptom: filter restriction indicator activated.,Temperature and pressure checks,sticking spool valve,checked pressure and flow at operating temperature,Hydraulic oil,Leak test passed,3.77,2.92,65776.38,2026-04-01,Closed - Monitor,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00113,MR-00113,EQ-0115,TECH-0656,2022-03-22,Corrective,Day,10525,Hydraulic Hose: Cylinder seal wear; observed symptom: hydraulic oil temperature rises during continuous operation.,Pressure and flow measurement,internal cylinder leakage,replaced damaged seal kit and performed leak test,Cooler gasket set,Pressure test passed,6.25,0.96,56626.27,2022-05-18,Closed - Monitor,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00114,MR-00114,EQ-0056,TECH-0457,2022-02-02,Corrective,Day,8089,Hydraulic Cooler: Internal leakage; observed symptom: reduced digging force.,Leak inspection and functional test,internal cylinder leakage,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Pressure test passed,13.53,3.96,17239.97,2022-07-21,Closed - Monitor,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00115,MR-00115,EQ-0216,TECH-0405,2022-03-26,Corrective,Night,1901,Hydraulic Pump: Line restriction; observed symptom: hydraulic oil appears contaminated.,Pressure and flow measurement,restricted hydraulic line,replaced damaged hose and pressure-tested the circuit,Pilot filter,Pressure test passed,1.03,2.96,11390.22,2022-06-25,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00116,MR-00116,EQ-0137,TECH-0246,2024-06-17,Corrective,Night,1961,Engine Cooling System: Cooler restriction; observed symptom: travel function loses power on incline.,Pressure and flow measurement,sticking spool valve,replaced restricted hydraulic filter and checked contamination source,Hydraulic oil,Pressure test passed,14.91,2.68,43515.19,2024-10-26,Follow-up Required,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00117,MR-00117,EQ-0118,TECH-0416,2025-05-25,Preventive,Night,12522,Pilot Valve: Restricted flow; observed symptom: boom movement slow under load.,Visual inspection and pressure test,internal cylinder leakage,inspected hydraulic circuit and isolated the affected component,Hydraulic line fittings,Pressure test passed,1.33,2.18,61835.73,2025-11-17,Closed,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00118,MR-00118,EQ-0228,TECH-0145,2023-06-19,Condition-Based,Evening,16164,Main Control Valve: External leakage; observed symptom: bucket cylinder leaking externally.,Pressure and flow measurement,restricted hydraulic line,inspected hydraulic circuit and isolated the affected component,Hydraulic oil,Operational test passed,9.15,0.25,50743.26,2023-11-30,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00119,MR-00119,EQ-0054,TECH-0792,2026-03-05,Corrective,Evening,5871,Swing Motor: Restricted flow; observed symptom: hydraulic oil temperature rises during continuous operation.,Leak inspection and functional test,loss of accumulator pre-charge,checked accumulator pre-charge and restored it to service specification,Accumulator charging kit,Test passed; monitor during next shift,13.97,10.75,36635.08,2026-09-16,Closed - Monitor,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00120,MR-00120,EQ-0167,TECH-0351,2023-11-12,Condition-Based,Day,12402,Accumulator: Pump wear; observed symptom: pump noise increases during operation.,Pressure and flow measurement,degraded hydraulic fluid,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pilot filter,Functional test passed,10.23,4.0,44972.37,2024-01-27,Closed - Monitor,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00121,MR-00121,EQ-0141,TECH-0362,2024-09-17,Preventive,Day,16354,Hydraulic Cooler: Restricted flow; observed symptom: bucket will not open normally.,Leak inspection and functional test,damaged hydraulic hose,replaced damaged hose and pressure-tested the circuit,Valve O-rings,Functional test passed,7.71,8.48,57011.7,2025-02-12,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00122,MR-00122,EQ-0099,TECH-0762,2025-01-30,Corrective,Day,12718,Hydraulic Pump: Low pilot pressure; observed symptom: reduced digging force.,Filter inspection and fluid condition check,blocked cooler core,inspected suction line for air ingress and corrected the connection,Valve O-rings,Functional test passed,3.23,5.04,50205.19,2025-04-16,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00123,MR-00123,EQ-0183,TECH-0572,2022-08-09,Condition-Based,Evening,13148,Hydraulic Filter: Pump wear; observed symptom: travel function loses power on incline.,Operational test under load,restricted return filter,checked accumulator pre-charge and restored it to service specification,Accumulator charging kit,Pressure test passed,5.98,5.77,25863.03,2023-02-04,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00124,MR-00124,EQ-0123,TECH-0380,2024-03-24,Corrective,Evening,4823,Hydraulic Pump: Line restriction; observed symptom: visible oil leak near hydraulic line.,Operational test under load,damaged hydraulic hose,checked pressure and flow at operating temperature,Hydraulic filter,Pressure test passed,5.09,7.05,7078.15,2024-04-25,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00125,MR-00125,EQ-0032,TECH-0248,2023-12-04,Condition-Based,Day,7541,Hydraulic Filter: Valve sticking; observed symptom: boom movement slow under load.,Pressure and flow measurement,loss of accumulator pre-charge,replaced restricted hydraulic filter and checked contamination source,Hydraulic oil,Pressure test passed,3.92,7.7,35114.32,2024-02-29,Follow-up Required,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00126,MR-00126,EQ-0067,TECH-0344,2024-02-16,Preventive,Day,3214,Fuel System: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,damaged hydraulic hose,replaced damaged hose and pressure-tested the circuit,Valve O-rings,Operational test passed,6.08,2.13,15087.77,2024-03-29,Closed,"Technician checked Fuel System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00127,MR-00127,EQ-0196,TECH-0777,2024-02-03,Inspection,Day,3928,Accumulator: Pump wear; observed symptom: bucket cylinder leaking externally.,Pressure and flow measurement,damaged cylinder seal,cleaned cooler and verified hydraulic oil temperature,Cooler gasket set,Functional test passed,12.66,4.79,14563.1,2024-06-14,Closed,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00128,MR-00128,EQ-0003,TECH-0106,2023-09-02,Corrective,Day,5531,Swing Motor: Hose failure; observed symptom: pilot pressure below expected range.,Filter inspection and fluid condition check,contaminated hydraulic oil,checked pressure and flow at operating temperature,Valve O-rings,Functional test passed,3.95,10.53,33921.44,2024-01-08,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00129,MR-00129,EQ-0043,TECH-0351,2025-03-26,Preventive,Day,5057,Hydraulic Tank: Pump wear; observed symptom: pilot pressure below expected range.,Temperature and pressure checks,damaged cylinder seal,cleaned cooler and verified hydraulic oil temperature,Hydraulic line fittings,Pressure test passed,1.61,3.54,4140.24,2025-09-22,Closed,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00130,MR-00130,EQ-0181,TECH-0442,2022-08-02,Corrective,Day,11668,Fuel System: Line restriction; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,loss of accumulator pre-charge,cleaned cooler and verified hydraulic oil temperature,Cylinder seal kit,Operational test passed,8.08,3.92,24270.18,2022-11-08,Closed,"Technician checked Fuel System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00131,MR-00131,EQ-0098,TECH-0009,2025-03-30,Preventive,Day,16105,Hydraulic Line: Cylinder seal wear; observed symptom: filter restriction indicator activated.,Temperature and pressure checks,restricted return filter,checked pump output and inspected for internal leakage,Accumulator charging kit,Pressure test passed,12.63,7.34,56056.66,2025-06-05,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00132,MR-00132,EQ-0033,TECH-0203,2022-11-25,Preventive,Night,4345,Main Control Valve: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,restricted return filter,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,Functional test passed,6.83,3.02,59309.38,2023-04-23,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00133,MR-00133,EQ-0065,TECH-0969,2022-09-17,Corrective,Day,16268,Hydraulic Hose: Pump wear; observed symptom: pilot pressure below expected range.,Temperature and pressure checks,air entering suction line,inspected hydraulic circuit and isolated the affected component,Accumulator charging kit,Functional test passed,4.37,0.25,14900.11,2023-01-11,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00134,MR-00134,EQ-0056,TECH-0083,2026-02-14,Condition-Based,Day,11447,Accumulator: Valve sticking; observed symptom: reduced digging force.,Visual inspection and pressure test,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic line fittings,Functional test passed,9.79,2.24,44285.71,2026-06-24,Closed,"Technician checked Accumulator, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00135,MR-00135,EQ-0178,TECH-0128,2023-03-23,Corrective,Evening,16503,Engine Cooling System: Low pilot pressure; observed symptom: hydraulic oil temperature rises during continuous operation.,Pressure and flow measurement,air entering suction line,replaced damaged seal kit and performed leak test,Pilot filter,Leak test passed,13.3,1.19,52422.7,2023-06-24,Closed - Monitor,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00136,MR-00136,EQ-0208,TECH-0215,2023-11-12,Preventive,Evening,11590,Swing Motor: Pump wear; observed symptom: hydraulic oil appears contaminated.,Filter inspection and fluid condition check,worn pump components,cleaned cooler and verified hydraulic oil temperature,Cylinder seal kit,Leak test passed,11.75,8.43,24156.58,2024-05-17,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00137,MR-00137,EQ-0138,TECH-0569,2024-08-31,Preventive,Night,4790,Travel Motor: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,damaged cylinder seal,inspected valve spool movement and cleaned the valve assembly,Cooler gasket set,Pressure test passed,2.85,5.15,41665.31,2025-01-31,Closed - Monitor,"Technician checked Travel Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00138,MR-00138,EQ-0142,TECH-0176,2022-08-19,Preventive,Evening,6759,Engine Cooling System: Filter blockage; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,restricted return filter,checked pressure and flow at operating temperature,Hydraulic oil,Test passed; monitor during next shift,15.34,4.59,22483.4,2023-02-23,Closed,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00139,MR-00139,EQ-0006,TECH-0068,2025-07-22,Corrective,Evening,16408,Hydraulic Hose: Cooler restriction; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,damaged cylinder seal,checked accumulator pre-charge and restored it to service specification,Pump seal kit,Operational test passed,1.0,3.78,2120.58,2025-08-29,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00140,MR-00140,EQ-0042,TECH-0147,2022-02-11,Corrective,Night,6235,Hydraulic Line: Filter blockage; observed symptom: pump noise increases during operation.,Pressure and flow measurement,internal cylinder leakage,replaced damaged hose and pressure-tested the circuit,Cylinder seal kit,Pressure test passed,12.6,4.96,62388.62,2022-06-28,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00141,MR-00141,EQ-0126,TECH-0120,2023-12-14,Corrective,Day,14891,Hydraulic Tank: Low pilot pressure; observed symptom: hydraulic flow is low at operating temperature.,Leak inspection and functional test,sticking spool valve,inspected suction line for air ingress and corrected the connection,Hydraulic oil,Operational test passed,6.0,6.42,19816.58,2024-06-17,Closed,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00142,MR-00142,EQ-0057,TECH-0268,2024-01-04,Corrective,Day,5085,Hydraulic Hose: Filter blockage; observed symptom: visible oil leak near hydraulic line.,Temperature and pressure checks,air entering suction line,cleaned cooler and verified hydraulic oil temperature,Hydraulic line fittings,Leak test passed,12.15,2.78,54092.56,2024-07-08,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00143,MR-00143,EQ-0061,TECH-0749,2022-01-26,Preventive,Evening,17857,Hydraulic Line: Overheating; observed symptom: travel function loses power on incline.,Operational test under load,blocked cooler core,checked pump output and inspected for internal leakage,Pump seal kit,Operational test passed,13.1,8.43,20205.79,2022-04-20,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00144,MR-00144,EQ-0034,TECH-0305,2025-03-28,Corrective,Night,9123,Boom Cylinder: Low pilot pressure; observed symptom: swing movement is slow.,Temperature and pressure checks,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Pressure test passed,5.25,4.52,27099.12,2025-05-25,Closed,"Technician checked Boom Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00145,MR-00145,EQ-0185,TECH-0651,2024-03-30,Corrective,Evening,7956,Hydraulic Tank: Internal leakage; observed symptom: visible oil leak near hydraulic line.,Operational test under load,restricted hydraulic line,cleaned cooler and verified hydraulic oil temperature,Hydraulic hose,Test passed; monitor during next shift,3.3,4.67,24202.02,2024-07-23,Closed - Monitor,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00146,MR-00146,EQ-0094,TECH-0847,2022-02-23,Condition-Based,Evening,14809,Hydraulic Pump: External leakage; observed symptom: reduced digging force.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated the affected component,Hydraulic filter,Pressure test passed,9.44,3.89,61638.2,2022-06-28,Follow-up Required,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00147,MR-00147,EQ-0017,TECH-0032,2022-03-10,Corrective,Day,17387,Boom Cylinder: Oil contamination; observed symptom: bucket cylinder leaking externally.,Pressure and flow measurement,high oil temperature,checked accumulator pre-charge and restored it to service specification,Hydraulic hose,Functional test passed,13.5,9.56,74954.37,2022-05-04,Closed,"Technician checked Boom Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00148,MR-00148,EQ-0118,TECH-0662,2024-07-20,Preventive,Night,15982,Hydraulic Pump: Air ingress; observed symptom: filter restriction indicator activated.,Visual inspection and pressure test,internal cylinder leakage,checked pressure and flow at operating temperature,No replacement part,Pressure test passed,14.32,3.45,77629.06,2024-12-20,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00149,MR-00149,EQ-0210,TECH-0817,2022-12-08,Corrective,Evening,14507,Hydraulic Hose: Filter blockage; observed symptom: bucket will not open normally.,Leak inspection and functional test,degraded hydraulic fluid,replaced damaged hose and pressure-tested the circuit,No replacement part,Functional test passed,13.36,3.98,14077.46,2023-03-31,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00150,MR-00150,EQ-0214,TECH-0093,2023-09-05,Corrective,Day,13615,Main Control Valve: Hose failure; observed symptom: hydraulic oil appears contaminated.,Leak inspection and functional test,sticking spool valve,inspected valve spool movement and cleaned the valve assembly,No replacement part,Test passed; monitor during next shift,10.01,1.03,10486.78,2023-12-09,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00151,MR-00151,EQ-0114,TECH-0090,2024-06-06,Inspection,Night,18415,Hydraulic Filter: Hose failure; observed symptom: boom movement slow under load.,Temperature and pressure checks,high oil temperature,inspected valve spool movement and cleaned the valve assembly,Hydraulic line fittings,Pressure test passed,1.26,8.91,57023.47,2024-08-07,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00152,MR-00152,EQ-0047,TECH-0271,2023-08-14,Corrective,Night,3967,Pilot Valve: Filter blockage; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,loss of accumulator pre-charge,checked pump output and inspected for internal leakage,Cylinder seal kit,Pressure test passed,12.06,4.43,64025.02,2024-01-12,Closed,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00153,MR-00153,EQ-0139,TECH-0361,2024-10-13,Corrective,Evening,10594,Travel Motor: External leakage; observed symptom: hydraulic oil appears contaminated.,Pressure and flow measurement,restricted return filter,checked accumulator pre-charge and restored it to service specification,Hydraulic filter,Test passed; monitor during next shift,7.22,3.0,39064.38,2024-11-27,Closed,"Technician checked Travel Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00154,MR-00154,EQ-0144,TECH-0117,2023-06-19,Corrective,Night,11380,Hydraulic Filter: Restricted flow; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,contaminated hydraulic oil,inspected suction line for air ingress and corrected the connection,Pump seal kit,Test passed; monitor during next shift,11.87,8.31,40791.17,2023-11-27,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00155,MR-00155,EQ-0178,TECH-0498,2026-08-20,Corrective,Day,16015,Swing Motor: Cooler restriction; observed symptom: boom movement slow under load.,Operational test under load,damaged hydraulic hose,cleaned cooler and verified hydraulic oil temperature,No replacement part,Operational test passed,10.04,6.84,63484.78,2026-12-13,Closed,"Technician checked Swing Motor, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00156,MR-00156,EQ-0062,TECH-0395,2025-06-02,Corrective,Day,8663,Main Control Valve: Low pilot pressure; observed symptom: visible oil leak near hydraulic line.,Visual inspection and pressure test,worn pump components,checked pressure and flow at operating temperature,Hydraulic filter,Test passed; monitor during next shift,8.31,4.5,25045.57,2025-11-04,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00157,MR-00157,EQ-0013,TECH-0676,2023-01-05,Corrective,Day,7571,Hydraulic Hose: Internal leakage; observed symptom: pump noise increases during operation.,Leak inspection and functional test,air entering suction line,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Functional test passed,6.09,4.28,67803.91,2023-06-18,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00158,MR-00158,EQ-0026,TECH-0210,2025-02-27,Preventive,Evening,17446,Hydraulic Filter: Internal leakage; observed symptom: reduced digging force.,Leak inspection and functional test,high oil temperature,checked accumulator pre-charge and restored it to service specification,Hydraulic filter,Functional test passed,2.65,2.68,21189.93,2025-07-17,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00159,MR-00159,EQ-0097,TECH-0903,2024-02-12,Inspection,Day,3467,Engine Cooling System: Overheating; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,damaged hydraulic hose,inspected hydraulic circuit and isolated the affected component,Valve O-rings,Pressure test passed,6.86,0.51,56465.48,2024-07-30,Closed,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00160,MR-00160,EQ-0182,TECH-0614,2023-03-16,Corrective,Night,6478,Hydraulic Cooler: External leakage; observed symptom: reduced digging force.,Pressure and flow measurement,degraded hydraulic fluid,inspected valve spool movement and cleaned the valve assembly,Cooler gasket set,Pressure test passed,5.23,0.25,16189.32,2023-05-29,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00161,MR-00161,EQ-0187,TECH-0844,2025-08-10,Preventive,Night,4052,Engine Cooling System: Cylinder seal wear; observed symptom: hydraulic oil appears contaminated.,Temperature and pressure checks,blocked cooler core,replaced restricted hydraulic filter and checked contamination source,Hydraulic hose,Operational test passed,2.42,4.8,50989.83,2025-09-11,Follow-up Required,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00162,MR-00162,EQ-0039,TECH-0883,2022-03-25,Inspection,Day,14951,Pilot Valve: External leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,worn pump components,checked pump output and inspected for internal leakage,Pump seal kit,Functional test passed,6.7,2.62,57139.0,2022-09-11,Closed,"Technician checked Pilot Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00163,MR-00163,EQ-0083,TECH-0361,2024-08-11,Corrective,Evening,6024,Bucket Cylinder: Pump wear; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,internal cylinder leakage,replaced damaged hose and pressure-tested the circuit,Return filter element,Pressure test passed,6.45,8.78,35035.52,2024-10-10,Closed,"Technician checked Bucket Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00164,MR-00164,EQ-0059,TECH-0583,2022-12-22,Corrective,Evening,11903,Hydraulic Line: Line restriction; observed symptom: swing movement is slow.,Pressure and flow measurement,sticking spool valve,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Operational test passed,15.77,5.76,61675.44,2023-04-08,Closed,"Technician checked Hydraulic Line, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00165,MR-00165,EQ-0177,TECH-0853,2022-06-23,Inspection,Evening,11834,Hydraulic Cooler: Line restriction; observed symptom: reduced digging force.,Operational test under load,high oil temperature,replaced restricted hydraulic filter and checked contamination source,Hydraulic filter,Pressure test passed,1.44,7.65,3957.67,2022-10-31,Closed,"Technician checked Hydraulic Cooler, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00166,MR-00166,EQ-0239,TECH-0051,2026-01-23,Preventive,Night,17436,Arm Cylinder: Restricted flow; observed symptom: pilot pressure below expected range.,Temperature and pressure checks,restricted return filter,checked pressure and flow at operating temperature,Cooler gasket set,Functional test passed,13.96,2.45,13092.61,2026-05-05,Closed - Monitor,"Technician checked Arm Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00167,MR-00167,EQ-0032,TECH-0653,2024-01-02,Corrective,Evening,9572,Hydraulic Hose: External leakage; observed symptom: reduced digging force.,Filter inspection and fluid condition check,internal cylinder leakage,checked accumulator pre-charge and restored it to service specification,Pump seal kit,Functional test passed,13.62,2.85,34082.55,2024-05-31,Closed,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00168,MR-00168,EQ-0061,TECH-0775,2023-07-27,Inspection,Evening,4191,Arm Cylinder: Low pilot pressure; observed symptom: pump noise increases during operation.,Operational test under load,blocked cooler core,checked accumulator pre-charge and restored it to service specification,Hydraulic line fittings,Functional test passed,2.82,6.13,32778.19,2023-10-15,Closed,"Technician checked Arm Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00169,MR-00169,EQ-0211,TECH-0602,2022-10-04,Preventive,Night,8826,Hydraulic Pump: Cylinder seal wear; observed symptom: hydraulic response is jerky.,Operational test under load,worn pump components,inspected suction line for air ingress and corrected the connection,Pump seal kit,Pressure test passed,9.11,1.41,24701.17,2023-02-16,Closed,"Technician checked Hydraulic Pump, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00170,MR-00170,EQ-0049,TECH-0015,2025-04-02,Corrective,Night,13356,Hydraulic Tank: Internal leakage; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,sticking spool valve,checked accumulator pre-charge and restored it to service specification,Return filter element,Operational test passed,11.83,6.06,33070.82,2025-07-03,Closed,"Technician checked Hydraulic Tank, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00171,MR-00171,EQ-0178,TECH-0280,2023-11-05,Inspection,Day,15437,Arm Cylinder: Valve sticking; observed symptom: boom movement slow under load.,Operational test under load,restricted hydraulic line,inspected valve spool movement and cleaned the valve assembly,Pilot filter,Leak test passed,12.42,5.1,64021.53,2023-12-30,Closed,"Technician checked Arm Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00172,MR-00172,EQ-0138,TECH-0556,2022-10-20,Corrective,Evening,9631,Engine Cooling System: Internal leakage; observed symptom: bucket cylinder leaking externally.,Operational test under load,restricted return filter,cleaned cooler and verified hydraulic oil temperature,Cylinder seal kit,Functional test passed,8.04,4.08,65525.94,2023-05-05,Closed,"Technician checked Engine Cooling System, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00173,MR-00173,EQ-0100,TECH-0845,2026-01-25,Preventive,Night,14896,Main Control Valve: Hose failure; observed symptom: arm movement slow after hydraulic oil warms.,Temperature and pressure checks,restricted return filter,replaced damaged seal kit and performed leak test,Accumulator charging kit,Pressure test passed,10.94,6.2,51700.62,2026-07-13,Closed,"Technician checked Main Control Valve, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00174,MR-00174,EQ-0147,TECH-0716,2023-08-05,Corrective,Day,10079,Arm Cylinder: Oil contamination; observed symptom: filter restriction indicator activated.,Visual inspection and pressure test,high oil temperature,replaced damaged hose and pressure-tested the circuit,Cooler gasket set,Functional test passed,9.31,5.27,55276.69,2024-02-05,Closed,"Technician checked Arm Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00175,MR-00175,EQ-0082,TECH-0569,2023-02-24,Corrective,Night,15725,Hydraulic Filter: Low pilot pressure; observed symptom: reduced digging force.,Filter inspection and fluid condition check,restricted hydraulic line,inspected suction line for air ingress and corrected the connection,Hydraulic line fittings,Test passed; monitor during next shift,8.32,10.78,44278.98,2023-04-29,Closed,"Technician checked Hydraulic Filter, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00176,MR-00176,EQ-0068,TECH-0274,2026-06-01,Preventive,Night,8439,Hydraulic Hose: Hose failure; observed symptom: bucket cylinder leaking externally.,Pressure and flow measurement,restricted return filter,inspected valve spool movement and cleaned the valve assembly,Hydraulic hose,Pressure test passed,9.03,4.86,22185.8,2026-08-20,Closed - Monitor,"Technician checked Hydraulic Hose, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00177,MR-00177,EQ-0112,TECH-0668,2023-10-12,Corrective,Day,16449,Boom Cylinder: Cooler restriction; observed symptom: boom movement slow under load.,Pressure and flow measurement,damaged cylinder seal,replaced damaged hose and pressure-tested the circuit,Hydraulic hose,Test passed; monitor during next shift,1.14,3.8,11457.71,2024-05-08,Closed,"Technician checked Boom Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
SR-00178,MR-00178,EQ-0150,TECH-0594,2022-02-02,Corrective,Day,13830,Bucket Cylinder: Hose failure; observed symptom: filter restriction indicator activated.,Operational test under load,degraded hydraulic fluid,checked pressure and flow at operating temperature,Cylinder seal kit,Test passed; monitor during next shift,12.26,8.75,59973.54,2022-06-10,Closed,"Technician checked Bucket Cylinder, recorded the reported symptom, performed the required service action, and completed a post-service test."
