service_id,maintenance_id,equipment_id,technician_id,service_date,service_type,service_shift,meter_reading_hours,inspection_finding,diagnostic_method,root_cause_confirmed,repair_or_service_action,part_replaced,test_after_service,service_duration_hours,downtime_hours,service_cost,next_service_due,service_status,technician_notes
SR-00135,MR-00135,EQ-0147,TECH-0473,2024-05-15,Preventive,Night,1834,Hydraulic Line: Filter blockage; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,blocked cooler core,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Pressure test passed,3.98,7.97,30228.64,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00136,MR-00136,EQ-0143,TECH-0173,2024-05-15,Corrective,Evening,6390,Travel Motor: Internal pump leakage; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,air entering suction line,inspected hydraulic circuit and isolated affected component,Hydraulic filter,Leak test passed,3.6,9.11,57680.01,2024-11-15,Closed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00137,MR-00137,EQ-0141,TECH-0771,2024-05-15,Inspection,Night,7495,Arm Cylinder: Filter blockage; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Leak test passed,1.37,1.45,12547.55,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00138,MR-00138,EQ-0139,TECH-0593,2024-05-15,Inspection,Night,8120,Boom Cylinder: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Functional test passed,2.93,6.74,5435.29,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00139,MR-00139,EQ-0150,TECH-0347,2024-05-15,Preventive,Night,8008,Hydraulic Oil: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Operational test passed,3.05,0.59,77670.82,2024-11-15,Follow-up Required,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00140,MR-00140,EQ-0173,TECH-0723,2024-05-15,Preventive,Evening,3812,Hydraulic Line: Valve spool binding; observed symptom: travel function loses power on incline.,Operational test under load,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Functional test passed,12.83,7.69,16931.27,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00141,MR-00141,EQ-0195,TECH-0287,2024-05-15,Preventive,Night,10485,Boom Cylinder: Cooler restriction; observed symptom: travel function loses power on incline.,Operational test under load,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Hydraulic filter,Operational test passed,9.32,7.02,34076.4,2024-11-15,Completed - Monitor,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00142,MR-00142,EQ-0151,TECH-0772,2024-05-15,Inspection,Night,9139,Hydraulic Line: Cylinder seal wear; observed symptom: bucket cylinder leaking externally.,Operational test under load,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Pressure test passed,15.67,10.64,65608.81,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00143,MR-00143,EQ-0102,TECH-0855,2024-05-15,Condition-Based,Day,13656,Boom Cylinder: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Pressure test passed,7.4,2.61,25489.17,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00144,MR-00144,EQ-0216,TECH-0810,2024-05-15,Corrective,Night,11101,Accumulator: Cylinder seal wear; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Cylinder seal kit,Functional test passed,8.95,7.14,26051.18,2024-11-15,Follow-up Required,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00145,MR-00145,EQ-0168,TECH-0561,2024-05-15,Preventive,Evening,10877,Oil Cooler: Valve spool binding; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,blocked cooler core,inspected hydraulic circuit and isolated affected component,Pump seal kit,Pressure test passed,6.11,9.26,65151.73,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00146,MR-00146,EQ-0143,TECH-0303,2024-05-15,Corrective,Night,17588,Arm Cylinder: Line restriction; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Pressure test passed,10.08,9.01,54444.46,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00147,MR-00147,EQ-0203,TECH-0589,2024-05-15,Inspection,Night,12705,Hydraulic Line: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,high oil temperature,inspected hydraulic circuit and isolated affected component,Hydraulic oil,Leak test passed,9.36,5.79,70663.32,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00148,MR-00148,EQ-0103,TECH-0229,2024-05-15,Corrective,Night,9819,Hydraulic Pump: Accumulator pressure loss; observed symptom: hydraulic flow is low at operating temperature.,Filter inspection and fluid condition check,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Operational test passed,10.03,9.74,25842.03,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00149,MR-00149,EQ-0116,TECH-0117,2024-05-15,Inspection,Evening,15793,Accumulator: Pilot pressure drop; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,high oil temperature,tested pilot pressure and inspected pilot circuit,Return filter element,Functional test passed,5.44,11.89,33809.6,2024-11-15,Closed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00150,MR-00150,EQ-0157,TECH-0516,2024-05-15,Corrective,Day,17491,Hydraulic Line: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Pressure test passed,2.97,6.81,72407.32,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00151,MR-00151,EQ-0234,TECH-0623,2024-05-15,Condition-Based,Night,13646,Hydraulic Filter: Oil contamination; observed symptom: hydraulic flow is low at operating temperature.,Operational test under load,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Functional test passed,5.27,9.97,7942.89,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00152,MR-00152,EQ-0187,TECH-0676,2024-05-15,Preventive,Day,14788,Hydraulic Line: Accumulator pressure loss; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Leak test passed,6.87,0.81,61971.85,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00153,MR-00153,EQ-0136,TECH-0115,2024-05-15,Inspection,Night,16037,Bucket Cylinder: Air ingress; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Pump seal kit,Leak test passed,11.62,4.19,61503.46,2024-11-15,Follow-up Required,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00154,MR-00154,EQ-0214,TECH-0689,2024-05-15,Corrective,Evening,14615,Hydraulic Pump: Line restriction; observed symptom: bucket cylinder leaking externally.,Operational test under load,air entering suction line,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Operational test passed,2.81,5.82,21209.76,2024-11-15,Completed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00155,MR-00155,EQ-0177,TECH-0465,2024-05-15,Preventive,Day,15615,Arm Cylinder: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,air entering suction line,inspected hydraulic circuit and isolated affected component,Cooler gasket set,Operational test passed,4.67,11.92,28363.66,2024-11-15,Completed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00156,MR-00156,EQ-0204,TECH-0305,2024-05-15,Inspection,Night,16604,Swing Motor: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Visual inspection and pressure test,blocked cooler core,tested pilot pressure and inspected pilot circuit,Hydraulic oil,Leak test passed,14.32,3.14,18989.62,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00157,MR-00157,EQ-0108,TECH-0328,2024-05-15,Preventive,Night,11481,Bucket Cylinder: Internal pump leakage; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Return filter element,Pressure test passed,11.04,5.6,10030.35,2024-11-15,Closed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00158,MR-00158,EQ-0181,TECH-0540,2024-05-15,Corrective,Night,11577,Hydraulic Line: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,high oil temperature,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Leak test passed,7.24,6.51,30005.15,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00159,MR-00159,EQ-0104,TECH-0108,2024-05-15,Preventive,Evening,2285,Hydraulic Oil: Valve spool binding; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Leak test passed,13.25,6.53,25114.72,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00160,MR-00160,EQ-0211,TECH-0492,2024-05-15,Corrective,Day,10615,Arm Cylinder: Cooler restriction; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,blocked cooler core,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Pressure test passed,13.34,8.69,53693.73,2024-11-15,Completed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00161,MR-00161,EQ-0152,TECH-0466,2024-05-15,Preventive,Evening,4161,Hydraulic Filter: Filter blockage; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Operational test passed,6.78,8.4,33506.41,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00162,MR-00162,EQ-0126,TECH-0222,2024-05-15,Condition-Based,Day,13406,Arm Cylinder: Valve spool binding; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Leak test passed,8.1,2.59,24178.87,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00163,MR-00163,EQ-0205,TECH-0420,2024-05-15,Inspection,Evening,3573,Hydraulic Pump: Filter blockage; observed symptom: travel function loses power on incline.,Temperature and pressure checks,air entering suction line,inspected hydraulic circuit and isolated affected component,Hydraulic oil,Leak test passed,2.93,10.08,69229.16,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00164,MR-00164,EQ-0215,TECH-0560,2024-05-15,Preventive,Evening,11682,Arm Cylinder: Air ingress; observed symptom: pump noise increases during operation.,Operational test under load,contaminated hydraulic oil,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Leak test passed,13.13,10.0,19860.68,2024-11-15,Closed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00165,MR-00165,EQ-0115,TECH-0894,2024-05-15,Condition-Based,Evening,4990,Hydraulic Oil: Oil contamination; observed symptom: pump noise increases during operation.,Visual inspection and pressure test,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Valve O-rings,Leak test passed,10.33,8.2,20699.17,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00166,MR-00166,EQ-0163,TECH-0203,2024-05-15,Corrective,Day,7834,Accumulator: Cylinder seal wear; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,loss of accumulator pre-charge,inspected hydraulic circuit and isolated affected component,Hydraulic filter,Operational test passed,11.67,2.35,38381.91,2024-11-15,Closed,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00167,MR-00167,EQ-0121,TECH-0999,2024-05-15,Corrective,Evening,1820,Bucket Cylinder: Internal pump leakage; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic filter,Pressure test passed,15.08,8.4,11530.66,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00168,MR-00168,EQ-0113,TECH-0113,2024-05-15,Condition-Based,Night,2830,Travel Motor: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Valve O-rings,Leak test passed,8.27,1.7,36014.8,2024-11-15,Completed,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00169,MR-00169,EQ-0163,TECH-0621,2024-05-15,Condition-Based,Evening,12467,Boom Cylinder: Oil contamination; observed symptom: pump noise increases during operation.,Temperature and pressure checks,air entering suction line,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Operational test passed,1.18,10.53,36034.35,2024-11-15,Closed,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00170,MR-00170,EQ-0228,TECH-0860,2024-05-15,Corrective,Night,1753,Accumulator: Air ingress; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,air entering suction line,tested pilot pressure and inspected pilot circuit,Pump seal kit,Leak test passed,5.8,10.3,11722.6,2024-11-15,Completed - Monitor,"Technician checked Accumulator, recorded reported symptom, performed required service action, and completed post-service test."
SR-00171,MR-00171,EQ-0164,TECH-0434,2024-05-15,Corrective,Day,9757,Main Control Valve: Oil contamination; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cooler gasket set,Leak test passed,9.18,5.84,12177.11,2024-11-15,Follow-up Required,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00172,MR-00172,EQ-0127,TECH-0138,2024-05-15,Corrective,Night,8495,Hydraulic Filter: Oil contamination; observed symptom: pump noise increases during operation.,Operational test under load,contaminated hydraulic oil,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Functional test passed,7.24,11.48,60901.15,2024-11-15,Completed,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00173,MR-00173,EQ-0236,TECH-0836,2024-05-15,Inspection,Evening,8854,Hydraulic Filter: Oil contamination; observed symptom: hydraulic oil temperature rises during continuous operation.,Temperature and pressure checks,air entering suction line,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Operational test passed,12.98,3.17,26547.3,2024-11-15,Follow-up Required,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00174,MR-00174,EQ-0104,TECH-0921,2024-05-15,Inspection,Day,6518,Hydraulic Pump: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Pressure test passed,9.57,11.06,39169.78,2024-11-15,Completed,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00175,MR-00175,EQ-0235,TECH-0640,2024-05-15,Preventive,Night,4769,Hydraulic Pump: Air ingress; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,air entering suction line,inspected hydraulic circuit and isolated affected component,Pump seal kit,Pressure test passed,4.27,5.01,31839.65,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00176,MR-00176,EQ-0197,TECH-0175,2024-05-15,Inspection,Night,11195,Pilot System: Accumulator pressure loss; observed symptom: hydraulic flow is low at operating temperature.,Visual inspection and pressure test,blocked cooler core,tested pilot pressure and inspected pilot circuit,Pump seal kit,Operational test passed,9.21,5.12,38931.91,2024-11-15,Follow-up Required,"Technician checked Pilot System, recorded reported symptom, performed required service action, and completed post-service test."
SR-00177,MR-00177,EQ-0173,TECH-0495,2024-05-15,Preventive,Day,5780,Oil Cooler: Cooler restriction; observed symptom: arm movement slow after hydraulic oil warms.,Filter inspection and fluid condition check,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Pump seal kit,Functional test passed,14.38,2.11,46674.21,2024-11-15,Completed,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00178,MR-00178,EQ-0129,TECH-0237,2024-05-15,Inspection,Night,5304,Hydraulic Oil: Cylinder seal wear; observed symptom: travel function loses power on incline.,Filter inspection and fluid condition check,high oil temperature,inspected hydraulic circuit and isolated affected component,Valve O-rings,Pressure test passed,5.97,10.27,21674.43,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00179,MR-00179,EQ-0203,TECH-0612,2024-05-15,Preventive,Night,13725,Bucket Cylinder: Valve spool binding; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,air entering suction line,replaced damaged hose and pressure-tested circuit,Valve O-rings,Leak test passed,1.4,1.06,43768.34,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00180,MR-00180,EQ-0211,TECH-0764,2024-05-15,Inspection,Evening,11970,Hydraulic Oil: Pilot pressure drop; observed symptom: bucket cylinder leaking externally.,Operational test under load,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Pressure test passed,15.75,6.58,45433.54,2024-11-15,Closed,"Technician checked Hydraulic Oil, recorded reported symptom, performed required service action, and completed post-service test."
SR-00181,MR-00181,EQ-0147,TECH-0992,2024-05-15,Condition-Based,Evening,1678,Hydraulic Line: Pilot pressure drop; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,air entering suction line,replaced damaged hose and pressure-tested circuit,Pump seal kit,Functional test passed,2.3,5.12,50468.63,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00182,MR-00182,EQ-0203,TECH-0884,2024-05-15,Corrective,Day,12644,Oil Cooler: Cylinder seal wear; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,loss of accumulator pre-charge,"drained contaminated oil, flushed circuit and refilled with filtered oil",Hydraulic hose,Operational test passed,12.75,5.77,55844.11,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00183,MR-00183,EQ-0166,TECH-0213,2024-05-15,Condition-Based,Evening,11274,Hydraulic Pump: Oil contamination; observed symptom: travel function loses power on incline.,Operational test under load,loss of accumulator pre-charge,replaced damaged hose and pressure-tested circuit,Hydraulic hose,Functional test passed,1.73,0.68,55327.65,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00184,MR-00184,EQ-0214,TECH-0569,2024-05-15,Inspection,Night,18394,Bucket Cylinder: Pilot pressure drop; observed symptom: travel function loses power on incline.,Visual inspection and pressure test,air entering suction line,tested pilot pressure and inspected pilot circuit,Valve O-rings,Operational test passed,3.26,3.15,22416.53,2024-11-15,Closed,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00185,MR-00185,EQ-0162,TECH-0679,2024-05-15,Preventive,Day,14989,Travel Motor: Oil contamination; observed symptom: travel function loses power on incline.,Operational test under load,high oil temperature,inspected hydraulic circuit and isolated affected component,Return filter element,Operational test passed,12.53,7.06,44693.85,2024-11-15,Completed - Monitor,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00186,MR-00186,EQ-0240,TECH-0916,2024-05-15,Inspection,Night,14935,Swing Motor: Pilot pressure drop; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,damaged cylinder seal,inspected hydraulic circuit and isolated affected component,Return filter element,Leak test passed,6.91,8.22,69551.12,2024-11-15,Completed,"Technician checked Swing Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00187,MR-00187,EQ-0163,TECH-0520,2024-05-15,Inspection,Night,7723,Travel Motor: Line restriction; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,damaged cylinder seal,"drained contaminated oil, flushed circuit and refilled with filtered oil",Cylinder seal kit,Pressure test passed,12.26,2.0,47230.82,2024-11-15,Completed - Monitor,"Technician checked Travel Motor, recorded reported symptom, performed required service action, and completed post-service test."
SR-00188,MR-00188,EQ-0115,TECH-0692,2024-05-15,Condition-Based,Night,17248,Hydraulic Line: Filter blockage; observed symptom: bucket cylinder leaking externally.,Operational test under load,blocked cooler core,inspected hydraulic circuit and isolated affected component,Hydraulic hose,Operational test passed,15.75,7.04,59487.83,2024-11-15,Completed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00189,MR-00189,EQ-0186,TECH-0976,2024-05-15,Corrective,Night,10715,Hydraulic Line: Valve spool binding; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,damaged cylinder seal,replaced damaged hose and pressure-tested circuit,Hydraulic filter,Pressure test passed,2.9,2.82,50984.89,2024-11-15,Closed,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00190,MR-00190,EQ-0217,TECH-0970,2024-05-15,Inspection,Evening,11229,Hydraulic Filter: Air ingress; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,blocked cooler core,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Operational test passed,11.54,6.23,46668.75,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Filter, recorded reported symptom, performed required service action, and completed post-service test."
SR-00191,MR-00191,EQ-0166,TECH-0907,2024-05-15,Corrective,Night,10570,Main Control Valve: Cooler restriction; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,blocked cooler core,replaced damaged hose and pressure-tested circuit,Hydraulic hose,Functional test passed,6.1,4.59,34197.35,2024-11-15,Closed,"Technician checked Main Control Valve, recorded reported symptom, performed required service action, and completed post-service test."
SR-00192,MR-00192,EQ-0142,TECH-0810,2024-05-15,Corrective,Day,13710,Boom Cylinder: Valve spool binding; observed symptom: hydraulic flow is low at operating temperature.,Temperature and pressure checks,high oil temperature,tested pilot pressure and inspected pilot circuit,Hydraulic hose,Operational test passed,14.48,0.5,39006.42,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00193,MR-00193,EQ-0153,TECH-0637,2024-05-15,Corrective,Evening,9283,Hydraulic Line: Accumulator pressure loss; observed symptom: bucket cylinder leaking externally.,Filter inspection and fluid condition check,contaminated hydraulic oil,replaced damaged hose and pressure-tested circuit,Cooler gasket set,Leak test passed,7.85,7.68,66466.62,2024-11-15,Follow-up Required,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00194,MR-00194,EQ-0120,TECH-0665,2024-05-15,Condition-Based,Evening,14262,Oil Cooler: Internal pump leakage; observed symptom: arm movement slow after hydraulic oil warms.,Operational test under load,contaminated hydraulic oil,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Operational test passed,6.93,5.2,40514.53,2024-11-15,Follow-up Required,"Technician checked Oil Cooler, recorded reported symptom, performed required service action, and completed post-service test."
SR-00195,MR-00195,EQ-0167,TECH-0494,2024-05-15,Inspection,Day,5071,Boom Cylinder: Accumulator pressure loss; observed symptom: arm movement slow after hydraulic oil warms.,Visual inspection and pressure test,high oil temperature,replaced damaged hose and pressure-tested circuit,Return filter element,Leak test passed,3.18,3.15,21261.84,2024-11-15,Follow-up Required,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00196,MR-00196,EQ-0157,TECH-0679,2024-05-15,Preventive,Night,5202,Hydraulic Line: Pilot pressure drop; observed symptom: travel function loses power on incline.,Temperature and pressure checks,blocked cooler core,replaced damaged hose and pressure-tested circuit,Cylinder seal kit,Leak test passed,14.65,11.42,65022.01,2024-11-15,Completed - Monitor,"Technician checked Hydraulic Line, recorded reported symptom, performed required service action, and completed post-service test."
SR-00197,MR-00197,EQ-0102,TECH-0494,2024-05-15,Preventive,Evening,10992,Hydraulic Pump: Accumulator pressure loss; observed symptom: bucket cylinder leaking externally.,Temperature and pressure checks,loss of accumulator pre-charge,tested pilot pressure and inspected pilot circuit,Hydraulic filter,Pressure test passed,7.45,5.72,31671.65,2024-11-15,Follow-up Required,"Technician checked Hydraulic Pump, recorded reported symptom, performed required service action, and completed post-service test."
SR-00198,MR-00198,EQ-0105,TECH-0450,2024-05-15,Corrective,Day,4394,Arm Cylinder: Accumulator pressure loss; observed symptom: pump noise increases during operation.,Filter inspection and fluid condition check,high oil temperature,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Leak test passed,5.08,3.66,18648.72,2024-11-15,Completed,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00199,MR-00199,EQ-0140,TECH-0458,2024-05-15,Corrective,Day,11434,Boom Cylinder: Cooler restriction; observed symptom: bucket cylinder leaking externally.,Operational test under load,high oil temperature,replaced damaged hose and pressure-tested circuit,Hydraulic oil,Leak test passed,8.42,11.97,44159.31,2024-11-15,Completed - Monitor,"Technician checked Boom Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00200,MR-00200,EQ-0190,TECH-0547,2024-05-15,Corrective,Day,15545,Bucket Cylinder: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Filter inspection and fluid condition check,damaged cylinder seal,tested pilot pressure and inspected pilot circuit,Valve O-rings,Functional test passed,10.85,9.17,44451.57,2024-11-15,Completed - Monitor,"Technician checked Bucket Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
SR-00201,MR-00201,EQ-0145,TECH-0841,2024-05-15,Preventive,Evening,5299,Arm Cylinder: Pilot pressure drop; observed symptom: hydraulic oil temperature rises during continuous operation.,Operational test under load,contaminated hydraulic oil,"drained contaminated oil, flushed circuit and refilled with filtered oil",Return filter element,Pressure test passed,1.33,8.33,28408.19,2024-11-15,Follow-up Required,"Technician checked Arm Cylinder, recorded reported symptom, performed required service action, and completed post-service test."
